ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
650,1118.29,982.841,17.321,0.0008,1.032,nan,0.03,nan,1.0,-1
655,1366.87,1497.77,17.1677,0.0008,1.272,nan,0.03,nan,0.72,-1
656,727.712,1226.58,17.2694,0.001,1.076,nan,0.025,nan,0.94,-1
664,689.47,1295.14,17.2507,0.0008,1.13,nan,0.027,nan,0.99,-1
666,1336.22,1645.65,17.1538,0.0008,1.397,nan,0.035,nan,0.67,-1
668,1369.37,1199.63,17.2501,0.0036,0.719,nan,0.05,nan,0.55,-1
669,985.732,1729.06,17.3278,0.0009,0.966,nan,0.027,nan,1.0,-1
673,1118.96,1299.73,17.2943,0.0009,1.179,nan,0.028,nan,1.0,-1
677,751.279,1272.71,17.1143,0.0008,1.426,nan,0.034,nan,0.91,-1
678,830.416,1278.04,17.3732,0.0009,1.076,nan,0.027,nan,0.77,-1
679,1044.14,1261.22,17.4249,0.0069,1.124,nan,0.031,nan,0.57,-1
691,1245.65,1193.85,16.6953,0.0008,2.119,nan,0.061,nan,0.9,-1
692,841.62,1534.86,17.426,0.0014,1.031,nan,0.026,nan,0.96,-1
693,881.144,1678.42,17.456,0.001,0.99,nan,0.029,nan,0.99,-1
694,1147.61,1411.32,17.303,0.0009,1.293,nan,0.033,nan,0.67,-1
700,817.314,1548.48,17.3612,0.0009,1.167,nan,0.027,nan,1.0,-1
707,974.227,1379.84,17.3333,0.0009,1.179,nan,0.029,nan,1.0,-1
715,1248.47,1635.87,17.5301,0.001,0.974,nan,0.027,nan,0.8,-1
883,1080.01,1322.51,17.8125,0.0013,1.028,nan,0.04,nan,0.99,-1
717,1193.7,1562.3,17.455,0.0027,1.011,nan,0.083,nan,0.5,-1
720,961.246,998.391,17.4772,0.0011,0.963,nan,0.03,nan,0.94,-1
721,709.831,1509.42,17.4392,0.0009,1.084,nan,0.032,nan,0.98,-1
726,1221.97,1304.04,17.4725,0.001,1.037,nan,0.033,nan,0.67,-1
730,1395.89,1048.65,17.3979,0.0011,1.22,nan,0.033,nan,0.99,-1
