_r _x _y _p Source RA_ICRS DE_ICRS rest b_rest B_rest rlen ResFlag ModFlag
0.077342 -0.017293 -0.075384 192.9 5406937975371486080 150.44465765334 -49.67175824588 2168.151108923149877 1027.184370260280048 4281.100043175239989 1179.557898471370 1 1
0.077693 -0.019185 -0.075287 194.3 5406937975371838080 150.44173425819 -49.67166063473 663.654860745403994 384.246478042104002 2141.667411156799972 1179.530659732220 1 1
0.073840 -0.018628 -0.071452 194.6 5406937975372049024 150.44259790206 -49.66782589586 2998.878376341379862 1648.210207914590001 5200.862647784299952 1179.593304507460 1 1
0.080419 -0.010434 -0.079739 187.5 5406937975372673920 150.45525611776 -49.67611552837 2229.197038740429889 980.476254383183004 4403.006602138420021 1179.599628977090 1 1
0.082487 -0.022421 -0.079382 195.8 5406937975379383552 150.43673182741 -49.67575427809 4961.503625940549682 3284.162602055590014 7398.165865612930247 1179.423807291480 1 1
0.073118 -0.007995 -0.072680 186.3 5406938005432204288 150.45902586312 -49.66905692683 3604.397593611859975 2526.607530160740225 5436.955912432090372 1179.736639744150 1 1
0.071754 -0.011030 -0.070901 188.8 5406938005432208768 150.45433712572 -49.66727780835 3536.680823959010013 2200.714393359020050 5719.638401634750153 1179.716030685710 1 1
0.070258 -0.007167 -0.069891 185.9 5406938005432211584 150.46030582488 -49.66626832642 2457.351418916130115 1694.027218937670114 3953.087156423210217 1179.788698251470 1 1
0.071605 -0.017337 -0.069475 194.0 5406938005432213120 150.44459377389 -49.66584948161 3051.428144133949900 2303.380556386870012 4317.484238614810238 1179.640785088710 1 1
0.070335 -0.012701 -0.069178 190.4 5406938005432213504 150.45175623953 -49.66555440638 1530.369921519710033 1228.508720281759906 2014.565566197830094 1179.715158868280 1 1
0.069203 -0.008630 -0.068662 187.2 5406938005432214144 150.45804646198 -49.66503919722 768.508300748522970 587.225359029361016 1106.990682646550113 1179.784024686180 1 1
0.064769 -0.012108 -0.063627 190.8 5406938005432231808 150.45267464824 -49.66000344345 2273.646059525910005 1372.619115596369966 4159.336375229409896 1179.802605031230 1 1
0.063991 -0.014327 -0.062367 192.9 5406938005432231936 150.44924662064 -49.65874206016 3830.935435097519985 2394.909322716000133 6072.453796764079925 1179.786741531410 1 1
0.067271 -0.016503 -0.065215 194.2 5406938005434070912 150.44588454857 -49.66159017770 6992.254543629909676 5126.571291585460131 9558.850817807460771 1179.713553840650 1 1
0.067883 -0.015640 -0.066057 193.3 5406938009730272256 150.44721775718 -49.66243175787 4029.516447643520223 2530.381434773450110 6322.564958102149831 1179.714772897230 1 1
