ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
515,1383.88,1232.16,16.1055,0.0007,0.646,-0.058,0.009,0.023,0.2948,-6.973,4.509,0.0414,0.076,0.067,0.741,0
202,1358.48,987.969,14.9346,0.001,0.541,0.275,0.013,0.018,0.1544,-7.512,4.764,0.0241,0.044,0.041,0.739,0
508,1227.02,1132.53,16.1375,0.0009,0.533,0.073,0.009,0.022,0.3074,-6.962,4.432,0.04,0.072,0.068,0.738,0
261,734.486,955.003,14.9079,0.0003,1.29,1.344,0.019,0.074,0.0899,-5.399,3.364,0.0285,0.047,0.042,0.733,0
407,921.763,877.693,15.7416,0.0006,0.606,0.187,0.012,0.025,0.0867,-4.212,2.946,0.0346,0.064,0.059,0.731,0
575,1160.83,1340.23,16.1858,0.0007,0.88,0.17,0.011,0.035,0.2926,-5.636,1.965,0.0456,0.082,0.071,0.731,0
549,763.662,1280.68,16.2522,0.0007,0.57,-0.011,0.01,0.026,0.1828,-6.619,4.372,0.0464,0.085,0.078,0.726,0
434,1017.91,860.226,15.8874,0.0006,0.49,0.207,0.012,0.021,0.2322,-3.188,2.565,0.0358,0.064,0.063,0.722,0
72,1328.48,1253.63,13.6898,0.0007,0.713,-0.061,0.007,0.007,1.9977,-21.95,7.43,0.624,1.163,1.107,0.719,0
581,852.404,1016.72,16.213,0.0006,0.956,0.423,0.01,0.048,0.2973,-8.29,6.818,0.0413,0.075,0.07,0.718,0
541,1316.09,1218.73,16.2408,0.0008,0.576,0.049,0.01,0.035,0.1652,-6.954,4.559,0.0442,0.084,0.081,0.715,0
600,967.209,1130.68,16.3335,0.0008,0.705,-0.025,0.009,0.027,0.4383,-6.075,6.206,0.0478,0.097,0.087,0.715,0
421,1119.93,1117.24,15.7987,0.0011,0.712,0.052,0.009,0.022,0.5457,-4.62,2.081,0.0626,0.118,0.118,0.714,0
634,1340.23,1066.14,16.4682,0.0008,0.637,-0.026,0.01,0.024,0.347,-6.033,4.128,0.0545,0.101,0.088,0.712,0
415,822.304,964.21,15.7078,0.0005,0.718,-0.05,0.014,0.023,0.4726,-5.782,0.968,0.0376,0.071,0.066,0.71,0
611,1018.94,1087.58,16.3982,0.0008,0.613,-0.011,0.01,0.029,0.3575,-6.947,3.848,0.0496,0.095,0.084,0.707,0
655,937.973,1494.65,16.4708,0.0007,0.611,-0.023,0.011,0.029,0.2181,-6.92,4.379,0.0478,0.097,0.085,0.704,0
647,1124.94,1240.0,16.492,0.0008,0.62,0.031,0.012,0.026,0.2359,-6.901,4.469,0.0516,0.103,0.087,0.702,0
459,922.422,905.37,15.9237,0.0007,0.616,-0.032,0.014,0.024,0.3479,-4.901,2.236,0.0406,0.073,0.065,0.7,0
632,1164.21,1273.63,16.4106,0.0009,0.778,0.2,0.011,0.041,0.4109,-6.465,2.638,0.0505,0.101,0.095,0.695,0
576,677.17,1189.93,16.3095,0.0012,0.517,0.008,0.019,0.029,0.3918,-7.305,4.599,0.056,0.11,0.094,0.692,0
559,1037.86,1533.01,16.222,0.0008,0.787,0.008,0.015,0.031,0.4366,-9.175,6.076,0.0471,0.094,0.083,0.69,0
664,851.527,1209.4,16.4405,0.0008,0.807,0.181,0.012,0.047,0.1768,-5.827,2.916,0.067,0.131,0.114,0.688,0
657,662.572,1196.16,16.4648,0.0009,0.647,-0.089,0.01,0.031,0.2748,-5.567,3.315,0.0568,0.105,0.096,0.688,0
714,948.991,1194.05,16.6281,0.0012,0.649,-0.06,0.01,0.032,0.2123,-6.635,3.454,0.0597,0.111,0.098,0.687,0
747,960.167,1394.55,16.6122,0.0009,0.766,0.047,0.013,0.038,0.4448,-3.489,2.376,0.0542,0.105,0.092,0.685,0
722,637.944,1033.14,16.4379,0.001,1.111,0.496,0.013,0.07,0.0823,-3.622,4.313,0.0518,0.101,0.087,0.684,0
616,1009.55,1542.3,16.3199,0.001,0.669,0.01,0.014,0.03,0.194,-6.893,4.332,0.0477,0.104,0.099,0.68,0
668,856.691,1494.26,16.4568,0.0008,0.733,0.083,0.015,0.033,0.5706,-2.514,1.093,0.0627,0.126,0.132,0.677,0
405,684.621,1293.25,15.7888,0.0014,0.286,0.373,0.033,0.037,0.7985,-4.464,4.303,0.0682,0.12,0.11,0.669,0
729,1166.67,1298.42,16.6027,0.0008,0.701,0.032,0.013,0.041,0.2372,-6.618,4.44,0.0597,0.132,0.113,0.666,0
627,746.295,931.442,16.3303,0.0009,0.838,0.149,0.016,0.044,0.2946,-6.703,3.792,0.0531,0.094,0.084,0.665,0
855,948.576,1273.68,16.8886,0.001,0.652,-0.072,0.013,0.033,0.1076,-6.856,4.392,0.0672,0.13,0.114,0.665,0
863,984.888,1507.36,16.8297,0.0009,0.675,0.067,0.015,0.047,0.2112,-6.496,4.392,0.0588,0.118,0.104,0.662,0
750,1071.92,1504.65,16.6203,0.0011,0.775,0.047,0.014,0.046,0.2722,-6.795,4.886,0.0635,0.142,0.142,0.657,0
806,785.125,1412.6,16.7638,0.0009,0.684,0.011,0.015,0.05,0.2319,-5.288,2.599,0.0614,0.114,0.101,0.657,0
362,923.066,1243.62,15.5685,0.0018,0.852,0.242,0.009,0.026,nan,nan,nan,nan,nan,nan,0.654,0
680,1218.94,895.9,16.4247,0.001,0.862,0.195,0.015,0.051,0.3676,-2.977,-1.914,0.0516,0.095,0.084,0.652,0
696,1079.45,931.596,16.5696,0.0008,0.622,0.014,0.018,0.041,0.2371,-5.384,3.525,0.053,0.101,0.089,0.647,0
888,860.326,1118.3,16.9301,0.001,0.741,-0.024,0.015,0.054,0.2818,-5.611,2.35,0.0664,0.126,0.116,0.646,0
1033,820.634,1332.93,17.1527,0.001,0.714,-0.064,0.015,0.051,0.5044,-5.078,3.357,0.0693,0.128,0.118,0.635,0
1015,763.138,999.921,17.1174,0.0009,0.746,0.156,0.017,0.082,0.4042,-8.723,6.478,0.0713,0.136,0.121,0.633,0
867,802.097,1412.05,16.9897,0.001,0.447,0.292,0.015,0.046,-0.0059,-5.385,4.069,0.0662,0.128,0.114,0.63,0
1001,964.739,1267.25,17.0892,0.0012,0.737,-0.057,0.013,0.054,0.0572,-7.737,6.667,0.0877,0.161,0.148,0.624,0
998,735.602,1027.89,17.077,0.0012,0.862,0.006,0.016,0.069,0.3723,-6.2,3.108,0.0702,0.133,0.118,0.623,0
234,1091.11,1297.11,15.1847,0.003,0.571,-0.069,0.013,0.013,-1.1597,-4.477,2.9,0.2301,0.415,0.395,0.621,0
958,1156.42,794.68,17.0048,0.001,0.72,0.057,0.019,0.066,0.1573,-4.547,1.866,0.0665,0.128,0.12,0.62,0
1203,1159.54,1392.3,17.3728,0.0014,0.856,-0.056,0.022,0.069,0.4447,-4.652,4.367,0.0876,0.159,0.153,0.601,0
1378,727.324,1055.83,17.7758,0.0013,0.334,0.058,0.019,0.066,0.0044,-2.82,2.315,0.0961,0.175,0.165,0.596,0
1401,749.669,1017.66,17.6506,0.0014,0.748,-0.006,0.02,0.087,0.1037,-5.317,4.768,0.1054,0.191,0.18,0.587,0
1476,721.888,1075.24,17.7255,0.0013,0.717,-0.092,0.023,0.083,0.231,-4.626,4.094,0.0958,0.17,0.164,0.587,0
1099,683.388,1043.51,17.3538,0.0018,0.701,-0.002,0.026,0.066,0.1663,-6.534,4.289,0.0887,0.179,0.162,0.579,0
350,741.276,1208.05,15.6707,0.0025,0.794,0.204,0.062,0.069,0.663,-12.706,6.369,0.1485,0.255,0.256,0.529,0
578,914.08,1216.58,16.5679,0.0017,0.869,0.187,0.028,0.049,2.7126,-24.191,24.039,0.5622,1.157,1.03,0.517,0
1,1232.48,1370.79,7.9668,0.0007,1.687,1.981,0.006,0.006,0.7424,-7.635,5.95,0.0352,0.064,0.065,0.797,0
316,714.66,1362.47,15.1143,0.0003,1.407,nan,0.009,nan,0.1705,-4.564,2.621,0.0281,0.049,0.047,0.78,-1
392,913.053,1020.51,15.3945,0.0005,1.391,nan,0.017,nan,0.0046,-3.551,2.808,0.0294,0.053,0.051,0.73,-1
416,1260.44,1083.67,15.4779,0.0007,1.346,nan,0.01,nan,0.2063,-5.781,4.851,0.0411,0.07,0.068,0.72,-1
425,1018.11,1057.57,15.5345,0.0005,1.344,nan,0.01,nan,0.1052,-4.294,3.077,0.0302,0.055,0.051,0.76,-1
435,824.839,1264.92,15.4383,0.0005,1.47,nan,0.01,nan,-0.0108,-3.626,2.528,0.029,0.053,0.049,0.76,-1
450,1043.97,1367.72,15.6001,0.0007,1.343,nan,0.01,nan,0.1376,-4.081,2.168,0.0333,0.061,0.06,0.74,-1
460,1072.44,887.487,15.7595,0.0006,1.082,nan,0.013,nan,0.2918,-7.579,8.476,0.0329,0.06,0.055,0.71,-1
548,730.599,1417.15,15.9473,0.0006,1.251,nan,0.013,nan,0.1269,-5.261,3.291,0.0346,0.065,0.062,0.72,-1
554,1265.1,1191.16,16.0296,0.001,1.25,nan,0.019,nan,0.2018,-7.662,5.567,0.0441,0.081,0.073,0.65,-1
574,1033.95,1270.45,16.2887,0.0018,0.613,nan,0.012,nan,0.2982,-4.156,2.246,0.0652,0.136,0.11,0.6,-1
601,1258.16,1409.54,15.9701,0.0009,1.419,nan,0.014,nan,0.1766,-4.15,3.108,0.0473,0.09,0.089,0.68,-1
617,808.765,1226.54,16.1425,0.0007,1.168,nan,0.011,nan,-0.0412,-4.288,2.908,0.0416,0.079,0.074,0.71,-1
706,873.012,1503.89,16.2628,0.0006,1.303,nan,0.016,nan,0.1153,-4.047,3.074,0.041,0.079,0.073,0.69,-1
744,840.078,855.693,16.5576,0.0008,0.993,nan,0.017,nan,0.663,-3.362,3.281,0.0552,0.102,0.091,0.63,-1
748,917.518,1289.13,16.2913,0.0008,1.4,nan,0.018,nan,0.0282,-2.626,2.102,0.0537,0.091,0.085,0.68,-1
761,1087.54,1017.74,16.4926,0.0008,1.144,nan,0.021,nan,0.0914,-3.96,3.192,0.0582,0.099,0.092,0.63,-1
768,1082.33,1227.87,16.4443,0.0008,1.266,nan,0.013,nan,0.0501,-3.874,2.464,0.0503,0.101,0.086,0.68,-1
796,824.958,1147.55,16.7378,0.0013,0.84,nan,0.018,nan,0.5051,-5.658,3.077,0.0694,0.118,0.108,0.77,-1
813,731.951,1277.86,16.7378,0.0009,0.859,nan,0.013,nan,0.2154,-5.692,3.535,0.06,0.114,0.103,0.78,-1
