ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
1084,807.367,1539.46,19.049,0.034,0.741,0.062,99.0,99.0,0.377,0.045,0.898,0.063,184.36629939362572,-55.08051111108353
1085,445.983,1199.29,19.049,0.036,0.827,0.063,99.0,99.0,0.387,0.045,0.893,0.061,184.41893559612933,-55.10824264826299
1086,1686.77,101.676,19.05,0.045,1.124,0.106,99.0,99.0,0.707,0.053,1.323,0.073,184.2409943844554,-55.20003893337112
1087,1663.37,125.987,19.052,0.049,1.118,0.086,99.0,99.0,0.614,0.054,1.239,0.067,184.2443502152152,-55.19800549121736
1088,470.816,328.118,19.052,0.045,0.878,0.071,99.0,99.0,0.478,0.049,0.994,0.066,184.4170734535058,-55.18039500565207
1089,826.789,1307.68,19.053,0.042,1.199,0.086,99.0,99.0,0.825,0.044,1.503,0.053,184.36376075943284,-55.0996239068534
1090,1259.96,681.453,19.053,0.038,0.588,0.063,99.0,99.0,0.474,0.048,0.93,0.061,184.30198007211393,-55.15170294788058
1091,1453.25,2002.44,19.055,0.04,0.937,0.077,99.0,99.0,0.525,0.046,1.015,0.06,184.27322254424305,-55.04322272928395
1092,1940.8,670.767,19.057,0.047,0.95,0.087,99.0,99.0,0.569,0.054,1.024,0.073,184.2036676463277,-55.15326070862504
1093,1679.44,205.009,19.058,0.04,1.087,0.105,99.0,99.0,0.625,0.045,1.079,0.067,184.24191388463424,-55.19147796176089
1094,196.645,1664.45,19.06,0.04,1.432,0.094,99.0,99.0,1.086,0.042,2.31,0.048,184.4542341608808,-55.06966312728326
1095,1908.47,172.284,19.06,0.046,1.096,0.085,99.0,99.0,0.668,0.052,1.191,0.062,184.2088046952195,-55.19439703329195
1096,713.08,1680.66,19.062,0.037,0.801,0.063,99.0,99.0,0.461,0.043,99.0,99.0,184.37973853269628,-55.06879713179275
1097,117.622,395.973,19.066,0.039,0.716,0.062,99.0,99.0,0.377,0.048,99.0,99.0,184.46829729605093,-55.174577465445914
1098,842.12,331.826,19.068,0.045,1.041,0.079,99.0,99.0,0.574,0.051,1.196,0.066,184.3631105137335,-55.18031660741945
1099,1158.07,1772.84,19.069,0.041,0.861,0.068,99.0,99.0,0.628,0.044,1.094,0.062,184.3156485497128,-55.06169480968838
1100,816.268,516.601,19.069,0.04,1.087,0.094,99.0,99.0,0.431,0.048,0.904,0.063,184.36650462048567,-55.164985481093105
1101,1020.71,1376.34,19.072,0.038,1.103,0.071,99.0,99.0,0.66,0.042,1.391,0.049,184.3357172405449,-55.09415345437311
1102,1476.79,1879.41,19.074,0.036,0.844,0.063,99.0,99.0,0.553,0.044,1.069,0.062,184.26986282746705,-55.05333577500997
1206,1730.62,1850.89,19.254,0.044,0.773,0.069,99.0,99.0,0.509,0.053,1.028,0.073,184.23348362364334,-55.0560042931263
1104,576.447,1170.02,19.076,0.039,0.79,0.064,99.0,99.0,0.504,0.044,0.925,0.064,184.40011475826043,-55.110763784500335
1105,470.069,1106.01,19.076,0.042,0.86,0.066,99.0,99.0,0.482,0.049,1.016,0.066,184.41560749606228,-55.11596710666025
1106,1675.78,1031.66,19.079,0.041,0.795,0.062,99.0,99.0,0.473,0.046,0.946,0.064,184.24161405139813,-55.12322911704908
1107,1494.43,553.249,19.082,0.032,1.154,0.091,99.0,99.0,0.742,0.036,1.43,0.055,184.26823808019927,-55.16251043990298
1109,1277.64,461.735,19.083,0.038,0.803,0.087,99.0,99.0,0.484,0.048,0.928,0.057,184.29973208499467,-55.16988594341589
1110,231.941,77.441,19.083,0.043,0.852,0.07,99.0,99.0,0.485,0.051,0.867,0.076,184.45249706662867,-55.2011111671957
1111,55.756,611.389,19.085,0.042,0.664,0.062,99.0,99.0,0.55,0.048,0.905,0.068,184.47675015460266,-55.15666117981565
1112,1396.74,1062.64,19.091,0.03,0.826,0.06,99.0,99.0,0.41,0.04,0.827,0.063,184.28180382875843,-55.12037836241896
1113,1848.92,1509.38,19.092,0.039,1.435,0.093,99.0,99.0,0.986,0.041,2.035,0.049,184.21653338651888,-55.08416302969609
1114,634.711,695.059,19.092,0.041,0.998,0.091,99.0,99.0,0.603,0.047,1.117,0.055,184.39249778580074,-55.15007810980447
1115,977.27,1661.1,19.093,0.041,1.27,0.084,99.0,99.0,0.81,0.046,1.611,0.052,184.3417203980539,-55.07067680202287
1116,1339.85,1213.98,19.093,0.042,0.902,0.074,99.0,99.0,0.466,0.048,1.015,0.065,184.2898734273481,-55.107851809402895
1117,1273.85,1429.7,19.097,0.044,1.119,0.075,99.0,99.0,0.78,0.045,1.366,0.057,184.29921227540987,-55.090026472755525
1118,1243.61,1035.94,19.097,0.046,0.693,0.062,99.0,99.0,0.482,0.053,0.916,0.076,184.30391840430636,-55.12242540020658
1119,871.66,1960.56,19.098,0.045,1.15,0.084,99.0,99.0,0.575,0.05,1.218,0.067,184.356691537942,-55.04595833980933
1120,1815.26,921.75,19.1,0.05,0.984,0.079,99.0,99.0,0.552,0.055,1.079,0.068,184.22159304932308,-55.13243682885608
1121,1350.28,11.536,19.101,0.044,1.056,0.093,99.0,99.0,0.514,0.051,1.051,0.063,184.28994048748766,-55.2072383990642
1122,317.117,919.844,19.108,0.047,0.835,0.078,99.0,99.0,0.582,0.051,1.112,0.066,184.43810757544446,-55.13125265580975
1123,1402.68,1309.05,19.108,0.038,0.739,0.067,99.0,99.0,0.523,0.046,0.868,0.065,184.28075252473437,-55.10009360258954
1124,1518.83,920.591,19.11,0.036,0.827,0.073,99.0,99.0,0.448,0.046,0.864,0.066,184.2643243314428,-55.13221320189055
1126,387.205,962.596,19.112,0.034,1.066,0.07,99.0,99.0,0.583,0.039,1.008,0.057,184.4278656071385,-55.12776330201966
1127,746.133,1838.45,19.112,0.04,0.761,0.062,99.0,99.0,0.462,0.047,99.0,99.0,184.3748321956063,-55.05585445001687
1128,983.896,1311.07,19.112,0.037,0.756,0.066,99.0,99.0,0.425,0.044,0.899,0.067,184.34109191720165,-55.09949356837187
1129,240.524,1655.76,19.114,0.042,1.011,0.077,99.0,99.0,0.664,0.045,1.341,0.06,184.44791238696385,-55.070415935279335
1130,1340.99,815.332,19.114,0.035,1.134,0.101,99.0,99.0,0.551,0.047,1.115,0.065,184.29010245249154,-55.14072046883412
1131,1359.31,361.332,19.115,0.042,1.252,0.091,99.0,99.0,0.729,0.046,1.447,0.054,184.28805428211217,-55.17826304979494
1132,479.171,1456.87,19.115,0.04,0.943,0.063,99.0,99.0,0.515,0.045,0.987,0.067,184.41374435726598,-55.087014005139835
1133,1730.89,1707.84,19.116,0.041,0.796,0.07,99.0,99.0,0.609,0.047,1.18,0.066,184.23344600940044,-55.06772976986827
1134,366.31,1772.39,19.119,0.041,0.827,0.064,99.0,99.0,0.484,0.049,0.927,0.068,184.42960672234022,-55.060918826899474
1135,445.725,532.878,19.122,0.04,0.775,0.07,99.0,99.0,0.472,0.047,0.867,0.074,184.42025574551147,-55.16339168131538
1136,1462.64,1928.16,19.123,0.046,1.124,0.092,99.0,99.0,0.694,0.052,1.274,0.058,184.27188452900506,-55.04932162518761
1137,1085.88,149.033,19.126,0.042,1.081,0.08,99.0,99.0,0.665,0.049,1.234,0.057,184.3280740646252,-55.195643153608906
1138,1727.48,1130.18,19.144,0.047,0.819,0.072,99.0,99.0,0.55,0.052,1.066,0.062,184.23411070111632,-55.115177312044075
1140,709.356,1074.1,19.15,0.041,0.657,0.059,99.0,99.0,0.564,0.046,1.095,0.062,184.38104387434322,-55.1187936001351
1141,109.056,99.479,19.151,0.049,1.83,0.186,99.0,99.0,0.509,0.055,1.106,0.068,184.47035565610778,-55.19922718735703
1142,1455.43,609.926,19.152,0.063,1.036,0.102,99.0,99.0,0.619,0.065,1.084,0.087,184.27380765298275,-55.157791095199435
1143,546.878,508.148,19.152,0.058,0.758,0.082,99.0,99.0,0.453,0.063,0.941,0.101,184.40561805916772,-55.16550475906379
1144,485.761,1945.24,19.153,0.043,1.224,0.087,99.0,99.0,0.684,0.048,1.294,0.057,184.4122028368262,-55.046812198929345
1145,2003.22,1515.87,19.153,0.038,0.944,0.078,99.0,99.0,0.591,0.046,1.085,0.071,184.1943986598896,-55.083832593232565
1146,423.84,1206.4,19.153,0.043,0.829,0.064,99.0,99.0,0.463,0.049,1.001,0.069,184.42212680545325,-55.10763817576169
1147,987.66,1020.65,19.154,0.045,0.66,0.068,99.0,99.0,0.603,0.049,1.009,0.065,184.34089351446644,-55.12344660807723
1148,433.928,516.555,19.155,0.047,1.066,0.093,99.0,99.0,0.708,0.051,1.232,0.073,184.42200551557406,-55.16473817908887
1149,252.987,1144.64,19.155,0.041,0.923,0.079,99.0,99.0,0.447,0.05,99.0,99.0,184.44696470280604,-55.11261446894357
1150,1998.4,184.734,19.159,0.048,0.617,0.076,99.0,99.0,0.533,0.053,1.29,0.067,184.19578235647026,-55.19345448543415
1151,1858.24,785.272,19.16,0.043,0.882,0.078,99.0,99.0,0.43,0.055,0.899,0.079,184.21549010183398,-55.14373000740664
1152,1465.87,836.616,19.163,0.043,1.065,0.083,99.0,99.0,0.588,0.051,1.157,0.06,184.27204681995755,-55.13908542829671
1153,558.823,591.555,19.163,0.04,0.641,0.057,99.0,99.0,0.46,0.051,0.982,0.085,184.40371005364514,-55.1585992907116
1154,247.159,293.526,19.163,0.044,0.848,0.082,99.0,99.0,0.458,0.054,1.062,0.073,184.44970332812366,-55.1831510974531
1156,131.976,1186.23,19.168,0.034,1.098,0.076,99.0,99.0,0.649,0.04,1.242,0.052,184.46441177021737,-55.10909184774379
1157,1059.53,1016.23,19.17,0.039,0.619,0.066,99.0,99.0,0.449,0.046,0.912,0.063,184.3305169934788,-55.1238766557713
1158,701.42,1215.92,19.174,0.04,0.796,0.071,99.0,99.0,0.642,0.045,1.229,0.056,184.38198377839655,-55.107079811346104
1159,708.574,1458.69,19.175,0.043,1.331,0.101,99.0,99.0,0.719,0.047,99.0,99.0,184.38063436441894,-55.08706901251865
1160,1197.87,441.923,19.176,0.051,1.469,0.123,99.0,99.0,0.916,0.056,1.857,0.061,184.31131669520082,-55.171459702810715
1161,1469.1,1812.64,19.179,0.039,0.725,0.068,99.0,99.0,0.518,0.047,1.075,0.068,184.27097836255285,-55.05880119257405
1162,1366.46,1548.42,19.181,0.05,0.893,0.077,99.0,99.0,0.621,0.055,1.187,0.069,184.28581729294484,-55.08036946532976
1163,1265.22,1022.54,19.182,0.039,1.087,0.079,99.0,99.0,0.659,0.045,1.378,0.052,184.30081408452207,-55.12355159067015
1164,991.35,943.918,19.185,0.041,0.636,0.062,99.0,99.0,0.54,0.047,1.042,0.076,184.3404626145227,-55.129784526844915
1165,1099.77,1643.4,19.185,0.042,0.694,0.064,99.0,99.0,0.471,0.052,0.899,0.072,184.3241095417411,-55.072264034682334
1167,380.268,1646.98,19.187,0.042,1.071,0.09,99.0,99.0,0.736,0.046,1.439,0.058,184.42775710952196,-55.07125944486487
1168,1910.35,1975.8,19.192,0.054,0.534,0.106,99.0,99.0,0.825,0.056,1.91,0.074,184.20777824825475,-55.046025749850386
1169,511.132,543.356,19.192,0.053,1.19,0.091,99.0,99.0,0.637,0.061,1.296,0.077,184.41073393305396,-55.162563387561356
1170,2010.39,571.847,19.194,0.051,0.459,0.075,99.0,99.0,0.547,0.056,1.265,0.074,184.1937023896137,-55.16149523887856
1171,1096.04,1239.45,19.194,0.046,0.55,0.067,99.0,99.0,0.319,0.055,0.688,0.085,184.32499445086344,-55.1055047484081
1172,486.352,737.345,19.195,0.041,1.087,0.075,99.0,99.0,0.474,0.047,1.006,0.07,184.41393043049877,-55.14647452795666
1173,1825.39,1571.27,19.196,0.041,0.79,0.066,99.0,99.0,0.411,0.048,99.0,99.0,184.21990296012845,-55.07905422236548
1174,1209.88,1054.92,19.197,0.039,0.921,0.076,99.0,99.0,0.563,0.048,1.109,0.064,184.30876567255092,-55.12082733691013
1175,793.297,950.115,19.197,0.043,0.511,0.065,99.0,99.0,0.437,0.049,0.758,0.071,184.3690927494086,-55.129104330171046
1177,1819.94,1731.16,19.203,0.043,0.877,0.079,99.0,99.0,0.574,0.05,1.119,0.069,184.22067993293854,-55.06593530486962
1178,734.109,1772.06,19.208,0.039,0.838,0.065,99.0,99.0,0.585,0.045,99.0,99.0,184.3766217607864,-55.06130010751953
1179,1554.43,503.43,19.209,0.051,0.997,0.092,99.0,99.0,0.635,0.054,1.237,0.065,184.25962283653186,-55.166683383842596
1180,65.448,1499.46,19.213,0.036,1.141,0.076,99.0,99.0,0.646,0.042,1.212,0.055,184.47345988164977,-55.0831686096872
1181,735.078,1163.45,19.213,0.05,0.897,0.08,99.0,99.0,0.603,0.054,1.031,0.079,184.37719468230716,-55.11143878802968
1182,1414.82,13.633,19.214,0.058,1.021,0.087,99.0,99.0,0.675,0.06,1.246,0.075,184.28056850050098,-55.207113090627274
1183,1849.55,690.565,19.214,0.039,1.033,0.094,99.0,99.0,0.572,0.051,1.06,0.064,184.21681365735796,-55.15152923229508
1184,188.404,1730.31,19.215,0.044,0.742,0.067,99.0,99.0,99.0,99.0,0.934,0.073,184.45532634769023,-55.06422881770332
1185,1354.61,822.112,19.216,0.038,0.759,0.067,99.0,99.0,0.582,0.048,99.0,99.0,184.2881274493403,-55.14017381590971
1186,1779.64,676.202,19.223,0.059,0.906,0.096,99.0,99.0,0.477,0.065,99.0,99.0,184.2269118499318,-55.15263998502075
1188,668.674,1441.56,19.229,0.071,0.353,0.093,99.0,99.0,0.69,0.078,1.516,0.091,184.38641173796307,-55.08844383399905
1190,462.837,1846.7,19.23,0.051,0.84,0.08,99.0,99.0,0.46,0.058,0.919,0.077,184.41560818699858,-55.05489344940003
1191,1558.22,1643.37,19.23,0.06,0.853,0.083,99.0,99.0,0.416,0.066,0.871,0.094,184.25823086386794,-55.072800025330174
1192,1148.55,287.581,19.231,0.051,0.811,0.088,99.0,99.0,0.412,0.058,99.0,99.0,184.31872386289913,-55.18420284615815
1193,1333.09,816.132,19.232,0.037,0.893,0.09,99.0,99.0,0.492,0.046,0.994,0.072,184.29124268139245,-55.140646929354084
1194,1609.53,1157.77,19.235,0.041,0.797,0.07,99.0,99.0,0.47,0.049,99.0,99.0,184.25107303701463,-55.11277281378928
1195,819.93,687.007,19.235,0.04,0.802,0.092,99.0,99.0,0.473,0.046,0.883,0.069,184.36566697279704,-55.15088037389611
1196,80.036,1355.22,19.237,0.044,0.936,0.079,99.0,99.0,0.442,0.053,0.949,0.07,184.47161025945545,-55.09508972671082
1197,1451.85,558.862,19.238,0.059,1.048,0.107,99.0,99.0,0.665,0.062,1.179,0.085,184.2743883079973,-55.16200729215915
1198,1931.43,744.326,19.238,0.044,1.001,0.082,99.0,99.0,0.462,0.058,99.0,99.0,184.20496760042758,-55.14718587046015
1199,1237.12,1064.78,19.241,0.039,0.9,0.071,99.0,99.0,0.572,0.046,1.097,0.063,184.30482461497033,-55.12004099976572
1200,893.755,985.555,19.241,0.043,0.624,0.064,99.0,99.0,0.497,0.05,99.0,99.0,184.35451266581416,-55.12626141294846
1201,1571.5,1038.05,19.241,0.044,0.709,0.073,99.0,99.0,0.378,0.054,99.0,99.0,184.25663343009387,-55.12258880826412
1202,906.487,1018.6,19.241,0.052,0.875,0.077,99.0,99.0,0.414,0.061,0.988,0.078,184.35262603708685,-55.123543957044554
1203,1308.06,1528.9,19.243,0.044,0.775,0.073,99.0,99.0,0.555,0.05,99.0,99.0,184.2942255760371,-55.081907263040854
1204,1073.83,258.873,19.243,0.051,0.77,0.101,99.0,99.0,0.484,0.062,1.035,0.072,184.32961621237902,-55.18652679088839
