ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
792,739.966,1367.84,17.953,0.018,0.942,0.029,99.0,99.0,0.585,0.02,1.187,0.028,154.3688404222709,-58.699243085619756
793,32.21,1844.16,17.959,0.02,1.205,0.044,99.0,99.0,0.757,0.022,1.408,0.026,154.4799279911524,-58.65922451768077
794,380.297,536.829,17.961,0.025,1.101,0.04,99.0,99.0,0.595,0.026,1.079,0.036,154.4273364148985,-58.76755011638091
795,1301.55,349.868,17.963,0.014,1.04,0.034,99.0,99.0,0.618,0.019,1.201,0.027,154.28090266297994,-58.78386120505163
796,1592.28,366.099,17.963,0.021,0.985,0.035,99.0,99.0,0.589,0.024,1.157,0.029,154.23450242353726,-58.78275470386542
797,572.651,140.721,17.965,0.018,1.367,0.04,99.0,99.0,0.875,0.019,1.794,0.022,154.39728350443812,-58.800481729443106
798,1253.52,1928.42,17.967,0.041,0.951,0.059,99.0,99.0,0.646,0.058,1.138,0.065,154.28635068466735,-58.653377187493184
799,899.654,1271.69,17.969,0.015,0.95,0.029,99.0,99.0,0.564,0.018,1.131,0.025,154.34365773078056,-58.70732883638185
800,624.289,348.212,17.971,0.02,1.109,0.036,99.0,99.0,0.576,0.023,1.129,0.028,154.3888010780497,-58.783381920828774
801,621.793,660.73,17.972,0.02,1.12,0.037,99.0,99.0,0.663,0.022,1.331,0.027,154.38876355883357,-58.757551644800905
802,1327.66,1365.35,17.987,0.018,1.157,0.035,99.0,99.0,0.75,0.02,1.458,0.024,154.27550752723207,-58.69994899429164
803,853.851,1534.81,17.989,0.015,0.903,0.032,99.0,99.0,0.539,0.02,1.118,0.024,154.35047043117942,-58.68555391394884
804,1613.15,33.626,17.99,0.018,1.756,0.062,99.0,99.0,0.982,0.019,2.045,0.022,154.23140809267147,-58.81026814074112
805,1597.38,117.921,17.991,0.021,1.274,0.041,99.0,99.0,0.731,0.025,1.358,0.029,154.233872894515,-58.803283476673045
806,1149.51,597.701,17.994,0.019,1.363,0.043,99.0,99.0,0.821,0.021,1.636,0.024,154.3048718107109,-58.76324294249521
