ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
64,1131.41,921.234,13.77,0.006,0.379,0.009,-0.173,0.007,0.336,0.009,0.609,0.012,155.96489536663515,-60.17000287458583
65,1281.0,1104.02,13.804,0.015,0.593,0.019,-0.198,0.014,0.312,0.016,0.618,0.017,155.9398134746493,-60.15508760418256
66,1471.41,716.054,13.814,0.007,0.259,0.011,-0.257,0.008,0.249,0.011,0.457,0.012,155.90870555784488,-60.18722960339537
67,172.618,1193.64,13.814,0.007,1.04,0.01,0.57,0.011,0.645,0.012,1.201,0.011,156.1232735400585,-60.14667954830656
68,1051.36,1494.97,13.82,0.006,0.38,0.009,-0.149,0.007,0.324,0.009,0.61,0.012,155.9773234161852,-60.12258467342882
69,970.824,1120.83,13.821,0.003,0.276,0.005,-0.21,0.005,0.257,0.005,0.475,0.006,155.99123323069372,-60.15339068183934
560,828.769,391.524,16.459,0.011,1.442,0.019,99.0,99.0,0.906,0.017,1.725,0.017,156.0159585936658,-60.21336327551963
72,6.037,1848.43,13.846,0.013,1.085,0.017,0.661,0.016,0.63,0.019,1.23,0.023,156.14948337592205,-60.09230575502353
73,510.172,1555.28,13.86,0.008,0.664,0.012,0.189,0.013,0.459,0.012,0.847,0.015,156.06678159034135,-60.11705406546291
74,651.28,1805.92,13.9,0.009,1.575,0.013,1.574,0.028,0.933,0.011,1.717,0.015,156.04302178050935,-60.096447594456585
75,343.605,16.426,13.904,0.013,0.489,0.018,0.204,0.012,0.295,0.017,0.596,0.02,156.0971988110219,-60.2439061892872
76,615.89,542.258,13.907,0.009,0.276,0.012,0.169,0.008,0.215,0.011,0.383,0.015,156.05104599382366,-60.20078934394913
77,720.425,241.507,13.924,0.011,0.302,0.014,0.181,0.01,0.199,0.013,0.367,0.016,156.03420466066427,-60.22562737745872
1450,1246.69,1454.15,17.88,0.015,0.809,0.025,99.0,99.0,0.553,0.022,1.07,0.026,155.94502080508576,-60.12616787904652
79,1330.62,44.279,13.953,0.012,0.394,0.016,-0.055,0.011,0.307,0.015,0.555,0.019,155.9330175656268,-60.2423004660648
80,747.456,760.758,13.995,0.007,0.778,0.011,0.233,0.011,0.519,0.009,0.908,0.011,156.02884859879478,-60.18288554854515
81,527.843,789.192,14.001,0.015,0.506,0.022,0.197,0.017,0.336,0.021,0.643,0.023,156.06521422281511,-60.1803638305234
2094,1806.27,1590.52,18.589,0.024,1.167,0.049,99.0,99.0,0.829,0.029,1.592,0.034,155.85206316608694,-60.115582151593394
83,1282.05,864.334,14.032,0.008,0.377,0.011,0.053,0.009,0.335,0.011,0.61,0.014,155.93996857824126,-60.174836866985245
