ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
707,974.227,1379.84,17.827,0.013,1.179,0.029,98.88,99.0,0.708,0.016,1.462,0.019,150.37237328049812,-55.10797865543666
708,625.818,1415.65,17.827,0.015,1.037,0.029,98.88,99.0,0.603,0.018,1.224,0.023,150.42262982871105,-55.10470858210475
709,560.19,588.387,17.828,0.019,1.205,0.037,98.88,99.0,0.684,0.022,1.463,0.026,150.43341382759135,-55.17294719866468
710,508.825,1864.55,17.837,0.019,1.204,0.065,98.88,99.0,0.764,0.022,1.468,0.026,150.43872150213346,-55.06753192309229
713,1143.97,1799.71,17.838,0.021,1.07,0.036,98.88,99.0,0.656,0.028,1.269,0.036,150.34712929514424,-55.07345497747816
712,604.385,1000.61,17.838,0.015,1.174,0.033,98.88,99.0,0.733,0.018,1.565,0.021,150.4264077321702,-55.13895211194112
714,1358.08,928.667,17.839,0.02,0.96,0.04,98.88,99.0,0.609,0.025,1.226,0.028,150.31765477703692,-55.145476087265955
715,1248.47,1635.87,17.84,0.015,0.974,0.027,98.88,99.0,0.582,0.019,1.114,0.022,150.33233201465737,-55.087044776298654
883,1080.01,1322.51,18.208,0.019,1.028,0.04,98.88,99.0,0.654,0.023,1.295,0.027,150.35719204324863,-55.11279110505202
717,1193.7,1562.3,17.845,0.058,1.011,0.083,98.88,99.0,0.537,0.079,1.182,0.1,150.34036858938447,-55.093080245653475
718,103.446,1482.55,17.855,0.016,1.176,0.031,98.88,99.0,0.702,0.02,1.48,0.022,150.49795911865826,-55.098574400035375
720,961.246,998.391,17.857,0.014,0.963,0.03,98.88,99.0,0.61,0.017,1.288,0.021,150.37486494961982,-55.13945589511235
721,709.831,1509.42,17.859,0.016,1.084,0.032,98.88,99.0,0.668,0.019,1.332,0.023,150.41033489430123,-55.09705092531823
722,779.39,760.665,17.859,0.02,0.978,0.039,98.88,99.0,0.633,0.025,1.243,0.028,150.40149499023974,-55.158930384164464
723,1601.01,1899.07,17.861,0.017,0.973,0.029,98.88,99.0,0.586,0.02,1.22,0.026,150.28096215528907,-55.06551636966698
724,1775.8,34.773,17.863,0.021,1.199,0.042,98.88,99.0,0.66,0.026,1.394,0.028,150.25851865933979,-55.21943857751898
726,1221.97,1304.04,17.864,0.015,1.037,0.033,98.88,99.0,0.649,0.018,1.268,0.023,150.33672123231196,-55.114412646311266
727,211.508,306.594,17.877,0.019,2.338,0.072,98.88,99.0,1.339,0.021,2.714,0.024,150.48418905502956,-55.195831307900896
1145,81.748,423.445,18.843,0.041,1.588,0.122,98.88,99.0,0.999,0.043,2.076,0.05,150.50277651999463,-55.18601418267563
730,1395.89,1048.65,17.884,0.016,1.22,0.033,98.88,99.0,0.743,0.019,1.528,0.023,150.3120107335621,-55.13559278786436
731,812.759,1276.85,17.891,0.015,1.566,0.039,98.88,99.0,0.99,0.017,2.101,0.019,150.3958645133888,-55.11634390483406
732,1477.57,996.984,17.891,0.017,1.057,0.031,98.88,99.0,0.652,0.021,1.261,0.026,150.30029342347927,-55.13989793771905
733,813.616,1436.05,17.892,0.014,1.196,0.036,98.88,99.0,0.702,0.017,1.362,0.02,150.3954730246937,-55.10320338093465
734,265.568,1209.42,17.894,0.016,1.282,0.034,98.88,99.0,0.756,0.019,1.602,0.021,150.47501051227366,-55.12133315699353
736,1224.84,809.491,17.896,0.016,1.059,0.032,98.88,99.0,0.662,0.02,1.309,0.026,150.33707744562727,-55.1552362819566
737,1990.64,1592.16,17.897,0.018,1.162,0.035,98.88,99.0,0.744,0.022,1.428,0.025,150.22524836334316,-55.090953885642406
738,1132.54,1203.56,17.902,0.014,1.003,0.031,98.88,99.0,0.618,0.017,1.326,0.022,150.34980000903616,-55.122646435728015
739,1304.71,957.046,17.903,0.016,1.194,0.04,98.88,99.0,0.761,0.02,1.469,0.025,150.3253201439851,-55.14310363221568
740,821.208,631.813,17.906,0.016,1.22,0.035,98.88,99.0,0.71,0.021,1.486,0.026,150.39564243560713,-55.16960672753261
