radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
143.450422,0.405,-50.461389,0.245,16.012,0.069,6,17.099,0.096,6,NA,NA,0,16.569,0.034,6,15.67,0.041,6,15.227,0.052,6,NA,NA,0,NA,NA,0
143.450465,0.276,-50.10313,0.302,NA,NA,0,NA,NA,0,NA,NA,0,18.006,0.036,3,16.542,0.015,3,15.801,0.059,3,NA,NA,0,NA,NA,0
143.450477,0.618,-50.099498,0.313,NA,NA,0,NA,NA,0,NA,NA,0,17.828,0.104,5,16.222,0.093,5,15.517,0.089,4,NA,NA,0,NA,NA,0
143.450674,0.26,-50.207402,0.401,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,16.587,0.103,1,16.047,0.17,1,NA,NA,0,NA,NA,0
143.450755,0.171,-50.186907,0.209,NA,NA,0,NA,NA,0,NA,NA,0,18.264,0.207,1,17.118,0.199,1,NA,NA,0,NA,NA,0,NA,NA,0
143.450829,0.369,-50.141512,0.327,17.808,0.317,1,18.061,0.241,1,NA,NA,0,17.989,0.147,1,17.069,0.184,1,NA,NA,0,NA,NA,0,NA,NA,0
143.451016,0.381,-49.923186,0.474,16.369,0.03,2,17.643,0.056,2,NA,NA,0,17.073,0.068,6,15.993,0.059,6,15.441,0.095,4,NA,NA,0,NA,NA,0
143.451066,0.529,-50.329104,0.367,16.675,0.008,2,17.756,0.349,2,NA,NA,0,17.403,0.03,4,16.249,0.055,3,15.657,0.129,4,NA,NA,0,NA,NA,0
143.451086,0.27,-50.489907,0.255,NA,NA,0,NA,NA,0,NA,NA,0,17.462,0.042,2,16.455,0.018,2,15.965,0.093,2,NA,NA,0,NA,NA,0
143.451089,0.253,-50.578525,0.204,13.18,0.051,6,14.646,0.021,6,NA,NA,0,13.898,0.027,6,12.648,0.05,6,12.113,0.035,6,11.731,0.085,4,NA,NA,0
143.45117,0.955,-50.43367,0.328,16.249,0.039,2,18.085,0.159,2,NA,NA,0,17.025,0.075,7,15.636,0.06,7,14.941,0.062,6,NA,NA,0,NA,NA,0
143.451692,0.548,-50.354651,0.37,16.331,0.052,5,17.863,0.196,5,NA,NA,0,17.19,0.094,6,15.669,0.024,6,14.944,0.038,6,NA,NA,0,NA,NA,0
143.451761,0.571,-50.081004,0.405,16.615,0.092,1,17.625,0.143,1,NA,NA,0,17.173,0.072,5,16.236,0.055,5,15.918,0.113,3,NA,NA,0,NA,NA,0
143.451803,0.639,-50.52467,0.472,NA,NA,0,NA,NA,0,NA,NA,0,17.701,0.125,2,16.302,0.042,2,16.039,0.179,2,NA,NA,0,NA,NA,0
143.452116,0.547,-50.093589,0.262,16.857,0.126,3,17.922,0.076,3,NA,NA,0,17.264,0.05,4,16.351,0.124,4,16.228,0.092,3,NA,NA,0,NA,NA,0
143.452156,0.747,-50.263159,0.829,16.315,0.032,2,17.674,0.156,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
143.452507,0.352,-49.930413,0.282,NA,NA,0,NA,NA,0,NA,NA,0,17.48,0.104,4,16.624,0.078,4,16.124,0.205,4,NA,NA,0,NA,NA,0
