radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
150.046826,0.579,-55.430321,0.447,15.825,0.046,3,16.914,0.163,3,NA,NA,0,16.31,0.061,9,15.452,0.061,9,15.045,0.089,9,NA,NA,0,NA,NA,0
150.046898,0.427,-54.588205,0.363,15.07,0.013,3,16.003,0.063,3,NA,NA,0,15.505,0.03,9,14.825,0.035,8,14.564,0.044,9,NA,NA,0,NA,NA,0
150.046999,0.476,-54.717455,0.302,16.865,0.053,2,17.773,0.145,2,NA,NA,0,17.297,0.093,8,16.658,0.12,8,16.095,0.134,2,NA,NA,0,NA,NA,0
150.047329,0.292,-54.738258,0.157,15.513,0.016,3,17.547,0.14,3,NA,NA,0,16.549,0.097,9,14.86,0.05,9,14.041,0.04,9,NA,NA,0,NA,NA,0
150.04756,0.183,-55.228075,0.216,NA,NA,0,NA,NA,0,NA,NA,0,18.331,0.364,1,16.833,0.187,1,NA,NA,0,NA,NA,0,NA,NA,0
150.047582,0.454,-54.751517,0.362,14.474,0.031,3,14.912,0.042,3,NA,NA,0,14.626,0.024,9,14.401,0.046,9,14.37,0.067,9,13.862,0.275,1,NA,NA,0
150.047847,0.573,-54.593286,0.613,15.481,0.016,2,16.961,0.111,2,NA,NA,0,16.223,0.037,9,14.901,0.048,8,14.303,0.035,9,NA,NA,0,NA,NA,0
150.047856,0.401,-54.839774,0.018,NA,NA,0,NA,NA,0,NA,NA,0,17.716,0.168,1,16.91,0.156,1,NA,NA,0,NA,NA,0,NA,NA,0
150.048039,0.319,-55.205799,0.405,NA,NA,0,NA,NA,0,NA,NA,0,18.175,0.233,1,16.385,0.095,1,15.243,0.092,1,NA,NA,0,NA,NA,0
150.048337,0.56,-54.786945,0.252,NA,NA,0,NA,NA,0,NA,NA,0,17.298,0.13,5,16.493,0.134,5,15.876,0.053,3,NA,NA,0,NA,NA,0
150.048606,0.623,-54.6692,0.325,16.905,0.244,3,17.591,0.112,3,NA,NA,0,17.136,0.108,7,16.347,0.087,7,16.071,0.151,4,NA,NA,0,NA,NA,0
150.048721,0.347,-54.985933,0.386,13.924,0.006,3,14.62,0.019,3,NA,NA,0,14.245,0.03,9,13.734,0.04,9,13.527,0.034,9,13.622,0.279,4,NA,NA,0
150.048933,1.177,-54.904763,0.485,16.183,0.037,2,17.266,0.129,2,NA,NA,0,16.818,0.081,4,15.945,0.218,2,15.827,0.087,2,NA,NA,0,NA,NA,0
150.048936,0.294,-55.464021,0.315,NA,NA,0,NA,NA,0,NA,NA,0,17.658,0.127,8,15.801,0.081,8,14.79,0.048,8,NA,NA,0,NA,NA,0
150.048953,0.232,-55.374818,0.185,11.177,0.018,3,11.684,0.012,3,NA,NA,0,12.925,2.418,9,11.017,0.164,10,10.776,0.51,11,10.664,0.963,6,NA,NA,0
150.049166,0.255,-54.658253,0.429,13.007,0.032,4,13.612,0.042,4,NA,NA,0,13.272,0.032,10,12.847,0.032,9,12.695,0.04,10,12.605,0.154,8,NA,NA,0
150.049457,1.296,-54.920719,0.293,NA,NA,0,NA,NA,0,NA,NA,0,17.035,0.126,4,16.004,0.086,4,15.48,0.084,4,NA,NA,0,NA,NA,0
150.049566,0.512,-54.877687,0.401,NA,NA,0,NA,NA,0,NA,NA,0,16.877,0.068,9,15.306,0.059,9,14.502,0.07,9,NA,NA,0,NA,NA,0
150.049609,0.509,-54.578922,0.417,15.908,0.084,2,16.889,0.12,2,NA,NA,0,16.484,0.107,9,15.643,0.043,8,15.359,0.09,8,NA,NA,0,NA,NA,0
150.049841,0.367,-55.221612,0.314,16.906,0.033,2,17.818,0.016,2,NA,NA,0,17.338,0.11,8,16.686,0.124,8,16.134,0.218,4,NA,NA,0,NA,NA,0
150.050096,0.403,-54.673304,0.308,16.078,0.053,4,16.996,0.145,4,NA,NA,0,16.479,0.093,10,15.77,0.063,9,15.432,0.125,10,NA,NA,0,NA,NA,0
150.050197,0.486,-54.779886,0.313,15.173,0.011,2,16.485,0.028,2,NA,NA,0,15.721,0.056,5,14.718,0.021,5,14.263,0.049,5,NA,NA,0,NA,NA,0
