radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
186.039814,0.151,-62.349781,0.201,16.213,0.077,1,17.168,0.128,1,NA,NA,0,16.548,0.055,1,15.806,0.062,1,15.268,0.1,1,NA,NA,0,NA,NA,0
186.039876,0.184,-62.156001,0.075,NA,NA,0,NA,NA,0,NA,NA,0,17.589,0.187,1,16.898,0.216,1,NA,NA,0,NA,NA,0,NA,NA,0
186.03997,0.162,-62.311653,0.185,16.974,0.17,1,17.797,0.214,1,NA,NA,0,17.24,0.102,4,16.384,0.096,4,16.195,0.247,1,NA,NA,0,NA,NA,0
186.03998,0.319,-62.089584,0.229,16.244,0.028,3,17.085,0.171,3,NA,NA,0,16.711,0.07,4,15.875,0.198,4,15.705,0.088,3,NA,NA,0,NA,NA,0
186.040022,0.604,-61.459649,0.554,16.006,0.108,4,17.182,0.119,4,NA,NA,0,16.546,0.048,4,15.654,0.092,4,15.138,0.096,2,NA,NA,0,NA,NA,0
186.040054,0.287,-62.028105,0.32,16.741,0.037,2,17.695,0.063,2,NA,NA,0,17.206,0.141,3,16.392,0.069,3,15.901,0.161,1,NA,NA,0,NA,NA,0
186.040059,0.257,-61.480996,0.225,NA,NA,0,NA,NA,0,NA,NA,0,18.503,0.361,1,15.763,0.104,1,14.56,0.09,1,NA,NA,0,NA,NA,0
186.040134,0.701,-61.602842,0.479,16.75,0.147,1,17.354,0.162,1,NA,NA,0,16.934,0.083,3,15.947,0.022,3,15.415,0.034,2,NA,NA,0,NA,NA,0
186.040194,0.372,-61.592433,0.305,15.408,0.046,2,17.202,0.084,2,NA,NA,0,16.328,0.002,2,14.728,0.006,2,14.118,0.02,2,NA,NA,0,NA,NA,0
186.040257,0.354,-61.428066,0.149,16.331,0.085,2,17.281,0.041,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
186.040704,0.302,-62.284488,0.234,15.932,0.032,2,16.973,0.012,2,NA,NA,0,16.408,0.013,4,15.632,0.072,4,15.254,0.088,4,NA,NA,0,NA,NA,0
186.040841,0.578,-61.392221,0.791,NA,NA,0,NA,NA,0,NA,NA,0,17.371,0.007,2,15.449,0.032,2,NA,NA,0,NA,NA,0,NA,NA,0
186.040989,0.102,-62.288427,0.15,16.634,0.123,1,17.894,0.236,1,NA,NA,0,17.306,0.059,2,16.411,0.041,2,NA,NA,0,NA,NA,0,NA,NA,0
186.041179,0.628,-62.305795,0.36,NA,NA,0,NA,NA,0,NA,NA,0,17.064,0.035,3,15.912,0.053,3,15.318,0.133,1,NA,NA,0,NA,NA,0
186.041203,0.302,-61.557442,0.286,NA,NA,0,NA,NA,0,NA,NA,0,17.837,0.013,2,16.733,0.126,2,NA,NA,0,NA,NA,0,NA,NA,0
186.041293,0.433,-61.759707,0.346,14.06,0.023,4,14.5,0.022,4,NA,NA,0,14.226,0.034,4,14.014,0.035,4,13.975,0.036,4,NA,NA,0,NA,NA,0
186.041339,0.292,-61.501852,0.217,16.679,0.172,1,17.772,0.273,1,NA,NA,0,16.946,0.125,1,NA,NA,0,16.143,0.264,1,NA,NA,0,NA,NA,0
186.041414,0.716,-61.782274,0.674,15.981,0.089,1,16.862,0.112,1,NA,NA,0,16.338,0.048,2,NA,NA,0,15.313,0.147,1,NA,NA,0,NA,NA,0
186.041582,0.345,-61.826397,0.241,16.073,0.033,4,16.845,0.108,4,NA,NA,0,16.386,0.151,1,15.941,0.168,1,NA,NA,0,NA,NA,0,NA,NA,0
186.041633,0.23,-62.002077,0.271,16.774,0.004,2,17.644,0.116,2,NA,NA,0,17.184,0.017,2,16.358,0.031,2,16.124,0.228,1,NA,NA,0,NA,NA,0
186.041638,0.758,-61.875845,0.551,13.461,0.014,1,13.999,0.013,1,NA,NA,0,13.69,0.026,2,13.437,0.021,2,13.335,0.038,1,NA,NA,0,NA,NA,0
