ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
133,976.077,1367.72,15.5545,0.0005,1.416,1.31,0.009,0.011,0.809,0
169,831.222,1464.43,15.8988,0.0006,1.097,1.031,0.009,0.011,0.804,0
196,1000.59,1014.6,16.3241,0.0007,0.885,0.744,0.01,0.012,0.801,0
190,1224.13,1375.11,16.0507,0.0006,1.351,1.277,0.013,0.015,0.8,0
254,1171.81,1411.76,16.4161,0.0008,1.474,1.366,0.012,0.016,0.8,0
276,1019.62,1709.53,16.752,0.0006,1.05,0.898,0.013,0.014,0.8,0
330,723.781,1507.54,16.8821,0.0008,1.142,1.056,0.014,0.017,0.79,0
866,921.372,1332.8,18.2605,0.0016,1.042,0.923,0.031,0.036,0.79,0
1019,1126.68,1407.03,18.5224,0.0023,1.081,0.849,0.036,0.04,0.79,0
380,1332.95,1369.86,17.1733,0.0007,1.078,0.91,0.016,0.019,0.78,0
416,847.179,1215.7,17.2774,0.001,1.069,1.002,0.015,0.02,0.78,0
456,1068.35,1239.82,17.4426,0.0011,0.899,0.78,0.018,0.019,0.78,0
119,1160.41,991.237,15.6577,0.0006,0.817,0.67,0.023,0.019,0.777,0
236,1109.11,1173.9,16.7737,0.0008,0.475,0.416,0.012,0.012,0.773,0
238,851.157,1065.42,16.5623,0.0006,1.079,0.984,0.012,0.014,0.772,0
294,1234.74,1647.96,16.8644,0.0008,0.979,0.824,0.014,0.015,0.772,0
293,1342.63,1288.99,16.872,0.0007,0.967,0.831,0.013,0.014,0.771,0
332,1388.47,1519.09,16.7864,0.0007,1.379,1.278,0.014,0.019,0.77,0
316,650.008,1521.03,16.8504,0.0008,1.141,1.021,0.016,0.018,0.77,0
353,952.667,1479.66,16.8622,0.0007,1.418,1.366,0.016,0.022,0.77,0
399,1158.59,1549.84,17.0087,0.0008,1.416,1.265,0.017,0.023,0.77,0
387,1041.82,1816.14,17.0266,0.0008,1.342,1.2,0.016,0.02,0.77,0
377,1033.99,1194.38,17.1817,0.001,1.03,0.878,0.016,0.017,0.77,0
442,1019.83,1326.09,17.2537,0.0009,1.232,1.171,0.015,0.02,0.77,0
