#ID  Gmag   (Bmag-Vmag)   (Umag-Bmag)   e_Gmag   e_(Bmag-Vmag)   e_(Umag-Bmag)   Mini
176     15.1212 0.3801  -0.0214 0.0004  0.0126  0.0201  3.1097  
177     14.9355 0.3795  -0.0501 0.0004  0.0123  0.0188  3.2903  
278     13.8612 0.3425  -0.1457 0.0003  0.0112  0.0128  7.0480  
179     16.1569 0.4736  0.2915  0.0005  0.0152  0.0305  2.2253  
280     13.3630 0.3297  -0.2020 0.0003  0.0108  0.0109  8.1906  
181     13.5634 0.3166  -0.2411 0.0003  0.0110  0.0116  4.5852  
282     14.1871 0.3627  -0.0768 0.0003  0.0114  0.0143  6.4941  
183     15.2202 0.3875  0.0066  0.0004  0.0128  0.0209  3.0150  
184     14.4818 0.3796  -0.1086 0.0004  0.0117  0.0158  3.7455  
185     16.3547 0.4864  0.3120  0.0006  0.0159  0.0331  2.0861  
186     16.1137 0.4618  0.2665  0.0005  0.0150  0.0299  2.2568  
287     15.5635 0.5005  0.3352  0.0004  0.0135  0.0239  4.2216  
288     12.6297 0.3226  -0.2139 0.0003  0.0105  0.0088  9.1179  
189     13.2243 0.3304  -0.2220 0.0003  0.0108  0.0104  4.8224  
190     15.8670 0.4284  0.1820  0.0005  0.0143  0.0271  2.4481  
191     13.1204 0.3248  -0.2221 0.0003  0.0107  0.0101  4.8846  
192     13.3467 0.3417  -0.2135 0.0003  0.0108  0.0108  4.7426  
293     13.8559 0.3640  -0.1197 0.0003  0.0112  0.0127  7.1131  
194     16.4758 0.5190  0.3656  0.0006  0.0164  0.0348  2.0071  
295     14.3993 0.4010  0.0041  0.0004  0.0116  0.0154  6.0835  
196     15.2952 0.3894  0.0233  0.0004  0.0129  0.0215  2.9451  
197     15.7200 0.4117  0.1319  0.0004  0.0139  0.0255  2.5688  
198     14.0636 0.3495  -0.1842 0.0003  0.0113  0.0137  4.1543  
199     16.4762 0.5291  0.3871  0.0006  0.0164  0.0348  2.0071  
2100    15.4210 0.4448  0.1774  0.0004  0.0132  0.0226  4.3848  
1101    15.2675 0.3843  0.0098  0.0004  0.0129  0.0213  2.9706  
1102    16.4622 0.5297  0.3907  0.0006  0.0163  0.0346  2.0159  
1103    16.1127 0.4344  0.2120  0.0005  0.0150  0.0299  2.2568  
1104    15.8732 0.4106  0.1488  0.0005  0.0143  0.0271  2.4425  
2105    16.2952 0.6232  0.4172  0.0005  0.0157  0.0323  3.3809  
1106    14.7016 0.3571  -0.1143 0.0004  0.0120  0.0172  3.5235  
