_r _x _y _p Source RA_ICRS DE_ICRS rest b_rest B_rest rlen ResFlag ModFlag
0.096160 0.053104 -0.080167 146.5 5358594849977897600 153.96638813880 -50.82568893864 1137.308665685970027 675.618253276884047 2687.828117162900071 1174.758620584190 1 1
0.097898 0.058623 -0.078405 143.2 5358594849977905408 153.97512186044 -50.82392079560 4477.025700086380311 3056.675943861990163 6680.710864533350104 1174.842710043980 1 1
0.102504 0.061299 -0.082155 143.3 5358594849982232704 153.97936664056 -50.82766746959 3110.053501898899867 1758.297519995199991 5303.176195923930209 1174.756431173870 1 1
0.097541 0.054848 -0.080659 145.8 5358594849982233472 153.96915027989 -50.82617912499 1975.838868976180038 1132.677454201410001 3895.896949184199912 1174.756245244370 1 1
0.097778 0.054405 -0.081245 146.2 5358594854272039936 153.96845017701 -50.82676535868 1514.616942942230025 623.965556947820005 3674.098744618850105 1174.737229056420 1 1
0.096309 0.053568 -0.080037 146.2 5358594854272040064 153.96712346102 -50.82555820387 2947.048443569200117 1669.368053152970106 5086.980604250159558 1174.765200354150 1 1
0.099641 0.059319 -0.080060 143.5 5358594854272051584 153.97622759655 -50.82557461727 2977.805047221000223 1800.105955021670070 5058.683609234170035 1174.801531668910 1 1
0.101087 0.059810 -0.081495 143.7 5358594854272296960 153.97700670692 -50.82700908622 2249.044014529280048 1104.515392653079971 4378.509969246990295 1174.765074597350 1 1
0.098655 0.057769 -0.079972 144.2 5358594854274049152 153.97377329050 -50.82548843995 2109.644462663160084 856.080215090912020 4249.986196978949920 1174.793992940820 1 1
0.104396 0.064310 -0.082236 142.0 5358594884337621632 153.98413326278 -50.82774384558 2078.963723345880226 1158.029469956100002 4059.525860205079880 1174.773591353770 1 1
0.098758 0.062868 -0.076162 140.5 5358594884337655680 153.98183761817 -50.82167233866 3603.629532813510195 2493.725539073619984 5491.467061109079623 1174.931876829930 1 1
0.094736 0.057591 -0.075221 142.6 5358594884337657984 153.97348198926 -50.82073815042 2378.978609523299838 1171.822785926000051 4508.977101312009836 1174.923880638450 1 1
0.100318 0.066343 -0.075248 138.6 5358594884337659776 153.98733643048 -50.82075315603 1928.108819207229999 1532.916376823440032 2568.717533904350148 1174.979446828110 1 1
0.096144 0.060868 -0.074422 140.7 5358594884337663104 153.97866839840 -50.81993474582 3472.512119360820179 2413.224789697720098 5294.113755063410281 1174.966984834570 1 1
0.094277 0.059080 -0.073469 141.2 5358594884337667200 153.97583502890 -50.81898410773 1538.277174987259968 965.936409528647005 3034.523375743840006 1174.981744866600 1 1
0.091009 0.057830 -0.070274 140.5 5358594884337684096 153.97385035089 -50.81579029905 3482.371640105000097 2115.986929370350026 5670.387316503740294 1175.061732593010 1 1
0.089561 0.056878 -0.069182 140.6 5358594884337688064 153.97234107389 -50.81470012552 2845.493325973970059 1606.452831510049919 4986.876376879709824 1175.085662866830 1 1
0.092212 0.061598 -0.068621 138.1 5358594884337700992 153.97981109967 -50.81413258612 2320.132459627090157 1752.290888073179985 3320.977587176750149 1175.131455714150 1 1
0.097683 0.064869 -0.073034 138.4 5358594884337701120 153.98499800476 -50.81854104646 2171.317936430560167 1288.026063027999953 4060.262098233009965 1175.030975155550 1 1
0.090238 0.059765 -0.067610 138.5 5358594884341975424 153.97690837738 -50.81312383342 4986.070405401629614 3500.494400312270045 7215.645559300160130 1175.147504076490 1 1
0.094935 0.057138 -0.075815 143.0 5358594888631793536 153.97276659149 -50.82133222353 2791.537420915969960 1519.952719614070020 4937.594897554179624 1174.904607452630 1 1
0.100439 0.061767 -0.079201 142.1 5358594888631794048 153.98010082518 -50.82471275993 3472.320663650330062 2301.796329024609804 5465.441850233870355 1174.840974192010 1 1
0.099558 0.061342 -0.078415 142.0 5358594888631794944 153.97942691795 -50.82392713307 3319.310316692499782 2081.060455217169874 5406.575810675530192 1174.859931531490 1 1
0.096458 0.063133 -0.072927 139.1 5358594888631805312 153.98224994076 -50.81843674444 3060.231649487629966 1773.984894207170100 5199.817850836429898 1175.022746228240 1 1
0.096937 0.065394 -0.071557 137.6 5358594888632037632 153.98582607898 -50.81706364003 2814.782442756500132 1531.485836618699977 4968.940227975160269 1175.075029637420 1 1
0.091044 0.062929 -0.065795 136.3 5358594888632625024 153.98191138020 -50.81130526074 2568.585184022650083 1333.210265104250084 4703.146080774739858 1175.217753711290 1 1
