ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
483,1396.65,1053.15,16.7676,0.0008,0.77,0.22,0.014,0.058,0.3158,-5.51,3.439,0.0607,0.121,0.108,0.591,0
585,1402.26,1520.49,17.0604,0.0009,0.795,-0.014,0.018,0.066,0.4864,-7.292,2.957,0.0731,0.141,0.115,0.583,0
9,1501.63,1299.97,11.9375,0.0025,0.081,-0.015,0.006,0.004,nan,nan,nan,nan,nan,nan,0.582,0
85,1082.96,1167.03,13.8272,0.0006,1.115,0.57,0.004,0.014,0.0,-7.961,4.725,0.5275,1.003,0.885,0.575,0
543,1224.18,1365.92,16.9685,0.0009,0.769,-0.044,0.016,0.06,0.5201,-6.118,6.746,0.0751,0.141,0.122,0.565,0
568,1257.94,1607.35,17.0502,0.0009,0.71,0.14,0.018,0.067,0.5259,-4.97,2.232,0.0694,0.141,0.123,0.561,0
469,1140.9,1689.07,16.7276,0.0008,0.741,0.094,0.015,0.049,0.4938,-7.594,4.183,0.0885,0.181,0.159,0.558,0
255,851.124,967.152,15.6996,0.0026,0.842,0.216,0.009,0.024,nan,nan,nan,nan,nan,nan,0.531,0
343,1448.33,1053.63,16.22,0.0029,0.751,0.308,0.01,0.04,1.4323,-6.26,1.823,0.2566,0.456,0.428,0.511,0
66,889.28,1438.01,12.6047,0.0004,2.362,nan,0.006,nan,0.1241,-4.956,4.005,0.0295,0.055,0.053,0.71,-1
152,1091.49,977.651,14.432,0.0004,1.593,nan,0.009,nan,0.2963,-6.778,5.495,0.023,0.04,0.038,0.72,-1
216,1383.9,1229.3,14.928,0.0004,1.59,nan,0.009,nan,0.2828,-4.801,2.471,0.0281,0.053,0.049,0.71,-1
295,1407.33,1125.67,14.9344,0.0005,2.292,nan,0.02,nan,0.1934,-4.842,3.288,0.037,0.068,0.067,0.65,-1
306,1090.1,1261.77,15.5067,0.0004,1.427,nan,0.011,nan,2.7763,-53.298,40.784,0.0371,0.069,0.06,0.67,-1
330,1426.93,1466.92,15.4565,0.0007,1.779,nan,0.014,nan,-0.0617,-7.343,4.766,0.109,0.195,0.176,0.56,-1
338,1575.0,1278.73,15.8636,0.0006,1.322,nan,0.011,nan,0.273,-3.681,3.421,0.0383,0.072,0.063,0.67,-1
357,1186.43,1157.95,16.1896,0.0009,0.801,nan,0.011,nan,0.2268,-4.62,3.472,0.0598,0.113,0.1,0.6,-1
383,931.014,1426.23,15.5329,0.0006,1.911,nan,0.022,nan,0.1989,-4.733,2.037,0.0333,0.064,0.069,0.65,-1
393,1013.5,872.902,16.0147,0.0008,1.324,nan,0.015,nan,2.0725,-19.526,9.762,0.0459,0.081,0.074,0.64,-1
398,682.728,1518.87,16.3018,0.0006,0.98,nan,0.013,nan,0.9583,-10.442,2.859,0.0451,0.093,0.076,0.64,-1
405,1320.94,1027.57,16.2531,0.0025,1.153,nan,0.014,nan,0.3223,-5.218,3.49,0.0446,0.078,0.077,0.65,-1
407,1183.73,1602.81,16.4437,0.0007,0.703,nan,0.012,nan,0.4573,-7.321,2.77,0.0509,0.107,0.095,0.62,-1
429,898.396,1466.61,16.4402,0.0007,1.002,nan,0.014,nan,0.3558,-7.321,6.209,0.0508,0.097,0.085,0.62,-1
430,1354.68,1619.85,16.5148,0.0007,0.909,nan,0.014,nan,0.6733,-4.159,-0.045,0.0555,0.104,0.095,0.6,-1
436,1198.46,1126.13,16.4857,0.0014,0.958,nan,0.014,nan,0.3172,-5.065,3.455,0.0524,0.101,0.087,0.63,-1
446,1410.76,1254.04,15.8601,0.0007,1.878,nan,0.019,nan,0.1498,-3.211,1.653,0.041,0.078,0.067,0.65,-1
497,1423.63,1225.8,16.6059,0.0009,1.209,nan,0.019,nan,0.2082,-5.05,-0.784,0.0611,0.135,0.114,0.58,-1
452,1094.21,1078.02,16.5187,0.0009,1.147,nan,0.015,nan,0.7773,-6.519,2.27,0.0589,0.108,0.095,0.61,-1
456,1527.85,1217.95,16.2204,0.0007,1.585,nan,0.021,nan,0.2613,-4.217,-0.025,0.0448,0.081,0.077,0.63,-1
459,1294.95,876.703,16.6076,0.0007,1.006,nan,0.017,nan,0.8873,-10.18,3.083,0.0556,0.107,0.097,0.61,-1
467,1522.53,1521.89,16.4861,0.0009,1.174,nan,0.025,nan,0.2398,-6.232,3.623,0.053,0.108,0.087,0.59,-1
1093,1152.44,1688.12,18.2469,0.0016,0.916,nan,0.058,nan,0.401,-6.917,3.279,0.1409,0.259,0.236,0.48,-1
471,1180.26,1444.27,16.626,0.0007,1.078,nan,0.017,nan,0.3609,-9.09,4.042,0.0534,0.108,0.093,0.6,-1
485,843.975,1700.28,16.7085,0.0007,0.928,nan,0.015,nan,0.4689,-9.942,8.05,0.0572,0.114,0.098,0.6,-1
489,927.33,1272.7,16.3724,0.0008,1.289,nan,0.02,nan,0.2776,-5.234,3.082,0.06,0.103,0.099,0.61,-1
493,1563.85,1262.24,15.5053,0.0011,2.128,nan,0.028,nan,-0.6773,-5.252,5.887,0.1812,0.33,0.292,0.5,-1
494,757.885,1129.79,16.6244,0.0008,1.126,nan,0.017,nan,1.3135,12.25,-5.563,0.0559,0.113,0.091,0.61,-1
498,1034.84,1745.98,16.9551,0.0019,0.947,nan,0.024,nan,0.379,-1.155,-1.575,0.192,0.424,0.373,0.47,-1
501,1577.55,1336.79,16.7463,0.0008,0.863,nan,0.017,nan,0.3806,-6.204,4.436,0.0635,0.125,0.111,0.59,-1
503,1525.77,1395.0,16.7982,0.0007,0.939,nan,0.023,nan,0.3274,-5.023,1.997,0.0607,0.119,0.109,0.57,-1
510,1374.44,955.129,16.8156,0.0008,0.754,nan,0.016,nan,0.3946,-8.951,7.334,0.063,0.126,0.107,0.58,-1
511,1038.82,1177.52,16.648,0.0007,1.179,nan,0.018,nan,1.3483,-17.763,11.264,0.0606,0.123,0.095,0.61,-1
526,1173.9,1472.86,17.1258,0.0028,1.078,nan,0.043,nan,0.1884,-6.515,2.244,0.1635,0.321,0.281,0.48,-1
530,1056.46,1224.06,16.7644,0.0007,0.999,nan,0.017,nan,0.1741,-7.095,4.146,0.0601,0.115,0.1,0.59,-1
532,802.383,1668.42,16.0678,0.0007,2.087,nan,0.028,nan,0.1462,-5.529,3.637,0.046,0.093,0.079,0.61,-1
533,959.567,1094.02,16.8762,0.0057,1.337,nan,0.022,nan,0.4702,-3.448,0.758,0.225,0.489,0.401,0.47,-1
547,841.774,1403.49,16.7368,0.0008,1.059,nan,0.017,nan,0.1199,-5.214,3.211,0.0594,0.111,0.097,0.61,-1
560,1196.15,1768.4,16.9899,0.0014,0.922,nan,0.02,nan,0.627,-6.534,0.546,0.1015,0.205,0.182,0.53,-1
563,1396.34,1311.99,16.833,0.0007,1.17,nan,0.019,nan,0.3582,-8.367,3.011,0.0616,0.118,0.103,0.59,-1
566,1492.95,1088.18,16.8819,0.0008,1.046,nan,0.021,nan,0.0113,-5.245,2.009,0.0842,0.165,0.144,0.55,-1
569,985.521,1473.79,17.0664,0.0009,0.734,nan,0.02,nan,0.4488,-3.083,-1.904,0.0687,0.138,0.117,0.57,-1
570,1000.17,1461.33,15.9994,0.0008,2.304,nan,0.037,nan,0.1548,-3.584,2.353,0.0506,0.1,0.096,0.6,-1
574,926.71,1012.3,17.0212,0.0008,0.906,nan,0.02,nan,0.3189,-4.91,2.26,0.0656,0.132,0.114,0.56,-1
582,905.621,1112.19,17.0353,0.0012,1.044,nan,0.02,nan,0.5268,-6.037,3.086,0.084,0.186,0.159,0.55,-1
584,1343.13,1665.59,16.8429,0.0009,1.294,nan,0.022,nan,0.1467,-4.92,4.56,0.0702,0.142,0.131,0.57,-1
588,984.36,1295.46,17.0672,0.0008,0.884,nan,0.018,nan,0.669,-10.028,8.993,0.0715,0.139,0.124,0.56,-1
591,1020.63,1088.1,17.0851,0.001,0.912,nan,0.019,nan,0.3409,-8.527,4.756,0.076,0.138,0.125,0.57,-1
595,1442.86,1105.12,17.0302,0.0008,0.905,nan,0.019,nan,0.2959,-3.097,2.251,0.0729,0.143,0.129,0.55,-1
599,1170.19,1237.45,17.0894,0.0008,0.888,nan,0.021,nan,0.5592,-5.159,4.753,0.0732,0.149,0.126,0.55,-1
601,699.545,1586.98,17.1067,0.0013,0.871,nan,0.021,nan,0.4273,-6.333,2.273,0.0825,0.158,0.144,0.55,-1
602,1251.33,1578.02,16.2614,0.0008,2.003,nan,0.04,nan,0.1294,-3.712,1.83,0.0521,0.097,0.092,0.61,-1
606,856.745,1643.99,17.098,0.0009,1.019,nan,0.019,nan,0.7366,-10.222,3.963,0.0683,0.137,0.116,0.58,-1
607,1482.74,1350.54,16.384,0.0007,2.062,nan,0.038,nan,0.323,-5.678,4.094,0.0617,0.117,0.109,0.58,-1
608,1425.61,1352.5,17.1485,0.001,0.908,nan,0.02,nan,0.5517,-6.961,1.498,0.0756,0.134,0.13,0.67,-1
613,935.453,1634.75,17.0772,0.0009,1.055,nan,0.022,nan,0.4016,-5.946,3.137,0.0688,0.142,0.122,0.57,-1
614,711.15,1368.07,16.1275,0.0008,2.063,nan,0.042,nan,0.0151,-5.375,2.92,0.0533,0.095,0.091,0.61,-1
616,890.512,1522.01,17.1426,0.001,0.762,nan,0.021,nan,0.2075,-8.217,5.531,0.0723,0.156,0.14,0.54,-1
617,1308.7,1585.49,17.1741,0.0009,0.84,nan,0.02,nan,0.4703,-7.775,0.585,0.0732,0.133,0.127,0.57,-1
619,1334.32,1143.54,17.1475,0.001,0.897,nan,0.021,nan,0.2873,-4.914,1.559,0.0693,0.128,0.115,0.57,-1
