ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
4013,2758.16,2129.84,17.8331,0.0022,1.228,0.523,0.007,0.029,0.483,1
1597,2298.72,1439.25,16.2017,0.0009,0.972,0.753,0.005,0.028,0.481,1
3019,2114.75,2127.41,17.3482,0.001,1.003,0.484,0.004,0.011,0.471,1
2313,2640.33,1586.61,16.9075,0.0009,0.899,0.283,0.003,0.021,0.47,1
2890,2906.21,1529.41,17.2832,0.001,0.933,0.259,0.004,0.031,0.462,1
4450,2622.22,1949.2,18.1412,0.0018,1.182,0.452,0.009,0.036,0.446,1
2597,2577.41,2219.07,17.1195,0.0009,0.855,0.3,0.004,0.01,0.439,1
3297,2398.77,2110.93,17.2995,0.0032,1.246,0.67,0.005,0.018,0.439,1
2471,2422.39,1747.26,16.9689,0.0011,0.932,0.393,0.004,0.007,0.428,1
1880,2883.68,1787.09,16.6522,0.0027,1.073,0.707,0.009,0.012,0.42,1
3492,3015.04,1693.43,17.6749,0.0011,0.973,0.354,0.005,0.021,0.38,1
4483,2782.7,1947.63,18.4193,0.0073,1.162,0.415,0.018,0.032,0.376,1
4479,2133.88,1923.35,18.2103,0.0019,1.073,0.51,0.009,0.026,0.371,1
599,2411.28,2160.27,14.9752,0.0004,0.851,0.331,0.002,0.004,0.354,1
64,2626.0,1831.68,12.4662,0.0002,0.887,0.482,0.002,0.003,0.344,1
628,2953.53,2009.04,14.9952,0.0004,1.025,0.671,0.002,0.004,0.343,1
4575,2603.85,1996.84,18.2962,0.0021,1.056,0.453,0.008,0.027,0.34,1
2426,2310.51,1206.15,16.8657,0.001,1.168,0.812,0.004,0.043,0.317,1
3612,2680.51,1278.85,17.7911,0.0014,0.88,0.066,0.006,0.028,0.316,1
726,2724.85,1623.9,15.2703,0.0004,0.704,0.119,0.002,0.004,0.315,1
242,2146.45,1781.64,13.6786,0.0002,1.124,0.813,0.003,0.003,0.304,1
215,2845.57,1545.64,13.7126,0.0002,0.585,0.138,0.002,0.003,0.292,1
973,2739.85,1165.83,16.5828,0.0016,1.495,0.431,0.01,0.016,0.272,1
4227,2046.52,1828.07,18.0424,0.0018,1.08,0.436,0.007,0.026,0.271,1
2740,2490.41,1987.78,17.1641,0.0011,0.965,0.484,0.004,0.012,0.263,1
286,2729.48,2188.34,13.6612,0.0005,1.479,1.269,0.003,0.004,0.262,1
97,2725.3,2197.81,11.5818,0.0013,1.994,2.103,0.003,0.005,0.254,1
2664,2906.93,1298.1,17.0802,0.0009,1.06,0.549,0.005,0.03,0.25,1
6206,2533.44,1427.81,20.0872,0.0066,0.074,-0.66,0.016,0.021,0.25,1
2899,2857.44,1625.17,17.3577,0.0011,0.928,0.387,0.007,0.013,0.241,1
746,2731.15,1559.84,14.9846,0.0004,1.276,1.117,0.003,0.007,0.199,1
4285,2794.4,1685.52,18.1429,0.0017,1.016,0.396,0.01,0.024,0.185,1
2436,2737.03,1185.55,16.9369,0.0009,0.925,0.475,0.004,0.01,0.173,1
2966,2007.56,1861.41,17.2799,0.001,1.026,0.423,0.005,0.031,0.172,1
205,2458.59,1650.27,13.576,0.0049,1.179,0.969,0.008,0.007,0.109,1
4185,2883.62,1814.14,18.1096,0.0017,1.013,0.373,0.009,0.02,0.058,1
210,2531.94,1986.02,13.5057,0.0002,1.1,0.652,0.003,0.003,0.046,1
377,1975.81,1530.69,14.408,0.0003,0.798,0.296,0.002,0.004,0.816,0
1246,2780.74,1741.09,15.2088,0.0004,1.932,1.726,0.004,0.024,0.706,0
243,2367.81,1693.55,13.9987,0.0003,0.274,0.111,0.002,0.003,0.632,0
1078,2467.33,1394.13,15.8381,0.0005,0.64,0.271,0.003,0.009,0.63,0
497,2920.44,1276.48,14.8667,0.0004,0.487,0.259,0.002,0.007,0.621,0
453,2524.11,1614.95,14.7342,0.0004,0.497,0.308,0.002,0.005,0.593,0
245,2765.24,1636.43,13.7821,0.0003,0.818,0.224,0.002,0.004,0.55,0
496,3107.4,1718.35,14.8755,0.0003,0.457,0.166,0.002,0.005,0.521,0
1318,2892.32,1819.35,15.9623,0.0006,0.923,0.349,0.003,0.006,0.468,0
1645,2132.1,1539.23,16.3679,0.0009,0.747,0.154,0.003,0.008,0.456,0
1695,2525.64,2209.52,16.4284,0.0009,0.788,0.216,0.003,0.006,0.424,0
4015,2594.98,1690.05,17.8193,0.0016,1.308,0.616,0.008,0.031,0.412,0
2000,2059.02,1923.38,16.6153,0.0008,0.813,0.497,0.003,0.009,0.41,0
2059,2442.12,2201.31,16.6752,0.001,0.963,0.487,0.004,0.01,0.405,0
1210,1962.84,1568.6,15.9435,0.0006,0.71,0.352,0.003,0.009,0.392,0
2228,2378.84,1752.02,16.8257,0.001,0.865,0.272,0.005,0.01,0.392,0
2682,2390.58,2130.93,17.1033,0.0009,1.03,0.634,0.004,0.012,0.365,0
4657,2420.09,2257.95,18.4479,0.0018,1.053,0.706,0.015,0.036,0.351,0
1764,2475.84,1463.2,16.4881,0.0014,0.811,0.116,0.003,0.013,0.349,0
4095,2933.73,2034.63,17.8978,0.0016,1.089,0.565,0.008,0.035,0.342,0
1408,2930.73,2076.52,16.1091,0.0008,0.877,0.335,0.003,0.006,0.335,0
3500,2116.28,1991.81,17.7306,0.0012,1.007,0.591,0.006,0.019,0.335,0
1683,2080.38,1307.41,16.4155,0.0008,0.824,0.159,0.003,0.009,0.332,0
2507,2579.17,2087.68,16.9146,0.0009,0.979,0.62,0.004,0.013,0.33,0
2233,2989.11,1630.51,16.8504,0.0008,0.856,0.26,0.003,0.019,0.328,0
2238,2696.68,1774.22,16.8344,0.0009,0.914,0.416,0.004,0.008,0.323,0
1352,2314.91,1641.58,16.0944,0.0006,0.834,0.278,0.003,0.011,0.321,0
1746,2585.38,2204.59,16.425,0.0006,0.891,0.344,0.003,0.006,0.32,0
3429,2861.11,2084.77,17.6581,0.0037,1.15,0.755,0.005,0.021,0.32,0
1394,2251.36,1772.05,16.1349,0.0009,0.762,0.46,0.003,0.006,0.31,0
1843,2778.5,1969.35,16.5312,0.0007,0.882,0.334,0.004,0.006,0.307,0
762,2771.49,1576.29,15.275,0.0004,0.894,0.422,0.002,0.004,0.301,0
3468,2840.52,2087.21,17.7513,0.0015,1.122,0.699,0.012,0.031,0.296,0
3681,2711.84,1937.08,17.8176,0.0026,1.22,1.053,0.01,0.041,0.288,0
710,2131.75,1972.91,15.0761,0.0004,0.929,0.435,0.002,0.006,0.286,0
3070,2699.98,1848.34,17.4295,0.0011,1.02,0.581,0.005,0.012,0.279,0
1110,2020.27,2005.66,15.7746,0.0005,0.863,0.347,0.003,0.005,0.271,0
121,2175.73,2095.47,13.1473,0.0004,0.65,0.11,0.006,0.004,0.268,0
419,2505.83,2082.62,14.9572,0.0088,0.564,0.165,0.012,0.01,0.251,0
2082,1989.38,1849.24,16.6416,0.0008,1.039,0.634,0.004,0.011,0.232,0
359,2278.15,1487.6,14.3879,0.0003,0.659,0.082,0.002,0.004,0.227,0
551,2965.31,2082.69,14.6402,0.0003,1.414,1.359,0.002,0.006,0.227,0
1262,2904.41,1669.85,15.9896,0.0006,0.824,0.273,0.003,0.007,0.212,0
2356,2412.41,1648.24,16.8759,0.0042,1.053,0.561,0.005,0.031,0.206,0
1107,2334.52,1661.63,15.716,0.0007,1.002,0.532,0.003,0.011,0.201,0
1919,2821.94,1712.32,16.4932,0.001,1.074,0.669,0.003,0.009,0.199,0
803,2727.82,1966.86,15.4031,0.0004,0.717,0.132,0.002,0.004,0.19,0
1558,2936.54,1996.97,16.219,0.0007,1.039,0.676,0.003,0.009,0.179,0
1428,2724.89,2014.26,16.1565,0.0017,0.906,0.405,0.003,0.006,0.177,0
2445,2202.07,1495.57,16.9486,0.0009,0.905,0.282,0.004,0.016,0.17,0
2330,2945.66,1822.12,16.9246,0.001,0.956,0.477,0.008,0.01,0.163,0
2802,2649.56,1889.55,17.2249,0.0015,0.962,0.382,0.005,0.01,0.163,0
1521,2670.0,1144.37,16.087,0.0006,1.014,0.591,0.003,0.017,0.152,0
372,2078.59,1427.0,14.4415,0.0003,0.673,0.118,0.002,0.005,0.149,0
2568,2182.24,1392.26,16.9837,0.0011,0.987,0.564,0.004,0.031,0.147,0
3943,2424.74,1686.73,17.8357,0.0014,1.145,0.499,0.006,0.03,0.145,0
1648,2373.37,2232.14,16.3308,0.0006,0.939,0.488,0.003,0.006,0.14,0
2848,2656.53,1818.46,17.3192,0.001,0.856,0.294,0.004,0.01,0.14,0
1561,2568.05,1559.38,16.3107,0.0006,0.817,0.264,0.003,0.01,0.139,0
641,2588.74,1706.1,15.0834,0.0004,0.771,0.207,0.002,0.005,0.123,0
