ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
397,211.883,1953.92,18.063,0.02,1.713,0.046,99,99,1.163,0.022,2.854,0.026
701,1324.28,1958.9,18.069,0.021,1.055,0.033,99,99,0.657,0.024,1.201,0.03
762,1394.96,1389.82,18.071,0.021,0.833,0.033,99,99,0.469,0.027,0.915,0.034
732,1143.78,1664.9,18.073,0.019,0.866,0.032,99,99,0.559,0.022,1.015,0.029
740,823.169,1919.35,18.073,0.02,0.863,0.033,99,99,0.535,0.023,1.021,0.031
767,184.048,949.901,18.073,0.02,0.803,0.032,99,99,0.429,0.025,0.904,0.037
749,745.913,1429.91,18.076,0.019,0.927,0.037,99,99,0.524,0.023,0.969,0.027
733,1760.01,1267,18.079,0.022,0.918,0.037,99,99,0.562,0.025,1.013,0.031
756,1298.16,1482.39,18.079,0.02,0.671,0.03,99,99,0.449,0.025,0.878,0.033
769,316.821,1496.47,18.08,0.021,0.751,0.033,99,99,0.423,0.026,0.872,0.035
810,1230.94,229.768,18.081,0.031,0.872,0.047,99,99,99,99,0.788,0.049
757,1401,1735.67,18.082,0.019,0.601,0.028,99,99,0.421,0.024,0.795,0.035
802,1875.96,83.945,18.083,0.022,0.664,0.039,99,99,0.319,0.028,0.692,0.042
709,689.011,1312.06,18.085,0.023,1.151,0.036,99,99,0.657,0.027,1.29,0.033
773,36.237,467.915,18.087,0.022,0.872,0.042,99,99,0.415,0.031,0.933,0.036
754,1728.59,608.758,18.091,0.024,0.855,0.035,99,99,0.515,0.028,1.018,0.032
777,824.302,1086.24,18.099,0.019,0.614,0.032,99,99,0.391,0.024,0.742,0.033
778,221.863,91.162,18.1,0.025,0.852,0.037,99,99,0.418,0.032,0.992,0.039
685,669.72,1112.18,18.106,0.021,1.221,0.039,99,99,0.667,0.022,1.275,0.03
707,507.705,1086.49,18.108,0.021,1.043,0.037,99,99,0.633,0.024,1.286,0.03
765,504.294,59.221,18.108,0.021,0.928,0.035,99,99,0.488,0.025,1.056,0.031
785,1261.32,1062.81,18.11,0.019,0.603,0.029,99,99,0.385,0.022,0.742,0.034
782,1483.68,1138.94,18.12,0.018,0.691,0.026,99,99,0.422,0.023,0.836,0.031
743,1971.47,627.111,18.122,0.027,0.946,0.044,99,99,0.597,0.03,1.156,0.039
770,1379.48,357.905,18.123,0.02,0.81,0.034,99,99,0.481,0.023,0.999,0.032
776,1280.87,1954.66,18.124,0.019,0.592,0.029,99,99,0.429,0.022,0.762,0.035
766,1439.49,656.382,18.128,0.028,0.659,0.035,99,99,0.498,0.03,0.872,0.037
775,856.169,564.282,18.128,0.02,0.766,0.034,99,99,0.473,0.025,0.96,0.039
788,797.299,1736.81,18.132,0.023,0.664,0.03,99,99,0.399,0.028,0.823,0.042
771,223.664,1458.59,18.133,0.019,0.815,0.031,99,99,0.523,0.023,0.97,0.03
761,817.066,1681.88,18.136,0.019,0.948,0.039,99,99,0.553,0.023,1.049,0.033
790,696.097,1941.47,18.139,0.023,0.863,0.036,99,99,0.483,0.027,0.943,0.034
605,912.242,837.597,18.143,0.031,1.494,0.046,99,99,0.957,0.038,1.785,0.037
804,807.949,460.221,18.146,0.029,0.893,0.038,99,99,0.494,0.034,1.033,0.041
779,358.18,1628.97,18.15,0.021,0.886,0.034,99,99,0.507,0.024,0.981,0.031
803,1447.47,258.881,18.154,0.023,0.782,0.036,99,99,0.467,0.027,0.909,0.036
796,758.04,1946.12,18.155,0.022,1.006,0.042,99,99,0.491,0.026,0.99,0.036
783,323.145,1937.09,18.158,0.034,0.834,0.055,99,99,0.498,0.041,0.995,0.047
807,215.629,1211.27,18.161,0.02,0.76,0.033,99,99,0.469,0.025,0.897,0.038
821,1829.79,31.571,18.162,0.02,0.661,0.03,99,99,0.359,0.026,0.797,0.038
789,724.722,633.805,18.164,0.02,0.846,0.038,99,99,0.514,0.026,1.017,0.035
792,369.428,1187.96,18.164,0.019,0.924,0.032,99,99,0.528,0.024,1.048,0.03
823,1891.9,113.28,18.165,0.021,0.73,0.036,99,99,0.385,0.029,0.841,0.037
784,136.469,709.802,18.166,0.017,0.973,0.032,99,99,0.562,0.025,1.118,0.03
806,1712.18,1575.21,18.168,0.018,0.866,0.031,99,99,0.504,0.023,0.957,0.029
815,822.903,1708.26,18.171,0.02,0.667,0.03,99,99,0.44,0.025,0.787,0.037
760,392.753,1274.85,18.172,0.025,1.066,0.043,99,99,0.566,0.028,1.218,0.035
799,1954.01,1423.53,18.172,0.023,0.86,0.035,99,99,0.519,0.027,1,0.036
780,1822.13,1427.92,18.173,0.018,0.887,0.032,99,99,0.559,0.024,1.07,0.03
793,1066.06,789.08,18.173,0.032,0.958,0.051,99,99,0.513,0.034,1.044,0.046
801,543.158,602.066,18.176,0.024,0.727,0.038,99,99,0.488,0.03,0.949,0.037
791,1866.97,1540.19,18.178,0.017,0.78,0.031,99,99,0.531,0.021,0.971,0.031
694,905.653,292.923,18.183,0.031,1.275,0.047,99,99,0.725,0.032,1.412,0.038
795,647.594,52.163,18.183,0.027,1.043,0.043,99,99,0.563,0.031,1.158,0.043
829,857.861,927.598,18.184,0.022,0.677,0.033,99,99,0.387,0.027,0.778,0.051
800,1152.53,1744.99,18.189,0.019,0.905,0.034,99,99,0.545,0.023,1.02,0.031
805,1038.06,895.536,18.192,0.025,0.985,0.049,99,99,0.511,0.029,1.006,0.036
825,644.651,1791.43,18.196,0.029,0.87,0.043,99,99,0.505,0.036,0.959,0.045
820,878.959,1816.82,18.202,0.019,0.779,0.034,99,99,0.497,0.024,0.937,0.031
814,1923.08,948.797,18.205,0.031,0.89,0.046,99,99,0.545,0.034,0.981,0.043
811,322.805,1823.63,18.212,0.019,0.877,0.034,99,99,0.582,0.025,1.032,0.033
704,1550.27,1292.28,18.213,0.02,1.268,0.046,99,99,0.777,0.024,1.431,0.03
831,376.796,10.854,18.215,0.023,0.894,0.039,99,99,0.469,0.028,1.047,0.037
816,1416.65,1217.46,18.217,0.025,0.74,0.042,99,99,0.519,0.029,0.958,0.039
844,1112.08,1363.59,18.218,0.02,0.782,0.033,99,99,0.43,0.025,0.876,0.037
841,1568.79,647.347,18.224,0.017,0.78,0.031,99,99,0.466,0.023,0.871,0.034
843,1896.57,1188.57,18.224,0.025,0.745,0.035,99,99,0.441,0.03,0.898,0.039
834,1541.51,1828.01,18.227,0.019,0.74,0.034,99,99,0.483,0.023,0.903,0.033
812,1199.25,1427.41,18.234,0.021,0.927,0.039,99,99,0.573,0.025,1.073,0.036
827,1098.8,1224.4,18.241,0.02,0.794,0.033,99,99,0.52,0.023,1.003,0.035
824,278.586,172.04,18.243,0.025,0.945,0.043,99,99,0.535,0.03,1.088,0.037
813,751.664,1110.76,18.245,0.021,0.942,0.038,99,99,0.566,0.025,1.141,0.033
822,1071.52,169.242,18.245,0.024,1.095,0.046,99,99,0.583,0.029,1.095,0.042
855,255.782,166.547,18.245,0.03,0.853,0.042,99,99,0.451,0.035,0.947,0.041
832,1507.33,16.424,18.247,0.02,0.945,0.044,99,99,0.539,0.027,1.098,0.04
826,1419.34,1222.16,18.249,0.029,0.67,0.042,99,99,0.49,0.033,0.996,0.042
854,1913.73,609.878,18.255,0.026,0.726,0.039,99,99,0.452,0.03,0.838,0.042
871,1186.58,1393.64,18.255,0.023,0.663,0.036,99,99,0.382,0.027,0.771,0.042
774,2025.39,1080.24,18.258,0.022,0.805,0.037,99,99,0.629,0.025,1.264,0.035
878,1972.45,462.5,18.258,0.027,0.891,0.044,99,99,0.449,0.035,0.836,0.047
808,1774.24,1089.65,18.261,0.019,1.025,0.035,99,99,0.621,0.023,1.191,0.029
828,1303.06,1701.2,18.261,0.02,0.862,0.035,99,99,0.555,0.023,1.014,0.032
872,1872.27,473.615,18.261,0.025,0.586,0.042,99,99,0.336,0.035,0.671,0.05
847,1223.05,832.745,18.262,0.027,0.838,0.051,99,99,0.483,0.03,0.983,0.05
860,226.736,1450.33,18.262,0.022,0.808,0.037,99,99,0.447,0.025,0.93,0.036
851,1109.89,1509.56,18.264,0.023,0.689,0.036,99,99,0.464,0.028,0.853,0.036
886,288.057,101.848,18.271,0.021,0.702,0.033,99,99,0.338,0.028,0.801,0.04
862,1088.79,1743.1,18.272,0.023,0.67,0.036,99,99,99,99,0.83,0.039
835,1206.15,1238.68,18.279,0.021,0.919,0.038,99,99,0.566,0.024,1.085,0.033
849,186.676,655.936,18.28,0.025,0.87,0.045,99,99,0.493,0.03,1,0.039
856,1975.47,1401.23,18.286,0.023,0.765,0.039,99,99,0.496,0.028,0.945,0.04
869,99.74,390.241,18.287,0.029,0.744,0.043,99,99,0.414,0.034,0.959,0.04
845,129.102,590.283,18.289,0.03,0.99,0.052,99,99,0.581,0.036,1.075,0.046
809,1552.56,429.665,18.29,0.023,1.007,0.042,99,99,0.654,0.027,1.171,0.034
850,2001.88,353.155,18.29,0.031,0.644,0.05,99,99,0.454,0.036,0.988,0.049
918,1547.91,493.571,18.294,0.038,0.832,0.063,99,99,0.365,0.04,99,99
866,1301.06,1569.66,18.297,0.019,0.757,0.031,99,99,0.493,0.025,0.957,0.035
879,1012.59,1336.97,18.299,0.02,0.665,0.032,99,99,0.409,0.026,0.855,0.037
818,1763.5,847.706,18.3,0.026,0.972,0.051,99,99,0.613,0.029,1.161,0.041
859,1711.01,32.741,18.301,0.038,0.716,0.048,99,99,0.485,0.04,1.001,0.051
819,1436.09,780.346,18.308,0.029,1.104,0.047,99,99,0.627,0.03,1.16,0.038
873,1717.11,1621.95,18.309,0.021,0.884,0.035,99,99,0.509,0.024,0.952,0.033
880,489.17,1102.34,18.314,0.028,0.878,0.041,99,99,0.508,0.033,0.998,0.042
884,1576.95,1507.27,18.316,0.02,0.846,0.039,99,99,0.484,0.025,0.914,0.035
901,1458.14,9.565,18.316,0.028,0.928,0.045,99,99,0.436,0.033,0.96,0.045
759,1473.85,1311.92,18.32,0.023,1.032,0.045,99,99,0.721,0.027,1.355,0.03
887,1106.93,701.159,18.327,0.022,0.872,0.039,99,99,0.5,0.029,0.967,0.033
867,1898.72,1568.87,18.328,0.026,0.911,0.04,99,99,0.566,0.031,1.051,0.038
923,922.509,289.754,18.33,0.032,0.784,0.042,99,99,0.411,0.036,0.824,0.055
896,221.101,1264.45,18.333,0.024,0.614,0.036,99,99,0.403,0.03,0.82,0.042
863,990.53,1195.82,18.336,0.022,0.869,0.037,99,99,0.574,0.026,1.084,0.036
888,2011.87,1001.95,18.34,0.025,0.668,0.04,99,99,0.472,0.03,0.914,0.039
892,1554.35,1338.43,18.344,0.031,0.873,0.045,99,99,0.653,0.039,0.859,0.053
882,1297.38,1785.33,18.345,0.027,0.731,0.042,99,99,0.5,0.03,0.943,0.04
898,1781.37,335.777,18.35,0.032,0.83,0.052,99,99,0.509,0.037,0.939,0.051
907,1326.75,546.49,18.353,0.026,0.756,0.045,99,99,0.448,0.03,0.899,0.043
916,1832.95,1503.83,18.353,0.023,0.691,0.038,99,99,0.423,0.028,0.845,0.04
904,798.743,1716.29,18.354,0.024,0.778,0.036,99,99,0.473,0.028,0.936,0.04
894,1935.65,1868.78,18.359,0.026,0.685,0.04,99,99,0.47,0.031,0.96,0.039
870,822.526,1874.53,18.36,0.025,0.905,0.045,99,99,0.566,0.029,1.089,0.039
919,966.18,519.01,18.362,0.026,0.826,0.043,99,99,0.459,0.031,0.933,0.043
936,570.674,1955.73,18.362,0.023,0.783,0.041,99,99,0.413,0.028,0.902,0.038
890,74.537,353.97,18.364,0.036,1.055,0.065,99,99,0.521,0.04,1.088,0.053
943,5.407,1375.68,18.365,0.025,0.853,0.039,99,99,0.431,0.029,0.917,0.04
876,1537.46,213.877,18.368,0.024,1.069,0.05,99,99,0.596,0.03,1.14,0.043
908,1141,493.985,18.368,0.031,0.896,0.044,99,99,0.52,0.036,1.018,0.043
893,1194.85,146.29,18.373,0.033,0.726,0.046,99,99,0.499,0.035,1.011,0.045
899,1935.38,195.671,18.374,0.044,1.026,0.061,99,99,0.534,0.047,1.115,0.057
914,666.608,1864.02,18.374,0.024,0.734,0.037,99,99,0.476,0.029,0.927,0.042
926,1952.17,590.359,18.376,0.036,0.761,0.053,99,99,0.477,0.045,0.894,0.05
942,786.554,1876.23,18.378,0.025,0.782,0.039,99,99,0.46,0.029,0.839,0.039
653,1847.6,656.877,18.379,0.028,1.468,0.058,99,99,0.945,0.03,1.857,0.035
960,1852.73,482.664,18.379,0.03,0.79,0.052,99,99,0.362,0.034,0.889,0.044
861,361.952,488.232,18.388,0.029,1.12,0.045,99,99,0.642,0.032,1.282,0.04
897,1843.54,798.436,18.388,0.03,0.973,0.05,99,99,0.543,0.033,1.064,0.041
