ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,Vrerr,VI,VIerr
3671,1702.67,1307.43,18.211,0.004,1.033,0.01,0.406,0.055,99.999,99,1.216,0.006
3672,1746.3,486.375,18.213,0.015,1.176,0.028,99,99,99.999,99,1.321,0.021
3673,2473.46,1473.86,18.214,0.003,1.083,0.006,99,99,99.999,99,1.447,0.005
3674,2059.93,2431.91,18.214,0.006,1.14,0.007,99,99,99.999,99,1.485,0.008
3675,734.553,2659.64,18.215,0.004,0.975,0.007,99,99,99.999,99,1.152,0.008
3676,3540.4,2044.12,18.216,0.037,1.394,0.048,99,99,99.999,99,1.948,0.04
3677,3960.95,2684.28,18.216,0.016,1.049,0.03,99,99,99.999,99,1.312,0.024
3678,692.123,2243.44,18.217,0.007,2.279,0.022,99,99,99.999,99,2.652,0.009
3679,2562.72,3504.25,18.217,0.014,1.089,0.027,99,99,99.999,99,1.185,0.027
3680,507.492,1460.77,18.218,0.01,0.986,0.012,99,99,99.999,99,1.223,0.015
3681,2711.84,1937.08,18.219,0.007,1.22,0.01,1.053,0.041,99.999,99,1.412,0.01
3682,3537.63,49.76,18.219,0.022,1.04,0.031,99,99,99.999,99,1.195,0.029
3683,3533.02,1027.38,18.222,0.019,1.284,0.034,99,99,99.999,99,1.669,0.024
3684,775.022,3362.75,18.223,0.011,1.098,0.014,99,99,99.999,99,1.399,0.025
3685,3845.89,2113.96,18.224,0.014,1.593,0.051,99,99,99.999,99,1.465,0.017
3686,2325.37,624.653,18.224,0.005,1.1,0.008,99,99,99.999,99,1.469,0.01
3687,1995.54,2701.98,18.224,0.004,0.931,0.006,99,99,99.999,99,1.188,0.005
3688,1179.33,797.326,18.224,0.007,1.072,0.01,99,99,99.999,99,1.289,0.01
3689,698.183,861.384,18.226,0.011,1.248,0.021,99,99,99.999,99,1.507,0.013
3690,1029.92,3116.34,18.227,0.007,1.288,0.01,99,99,99.999,99,1.676,0.011
3691,3208.29,936.829,18.228,0.007,2.251,0.018,99,99,99.999,99,2.658,0.011
3692,3574.17,253.461,18.228,0.022,1.622,0.045,99,99,99.999,99,1.725,0.03
3693,3937.57,2029.45,18.228,0.016,1.036,0.026,99,99,99.999,99,1.3,0.021
3694,1624.46,1984.52,18.228,0.004,1.063,0.007,0.555,0.016,99.999,99,1.278,0.005
3695,1459.74,3886.33,18.228,0.017,1.06,0.028,99,99,99.999,99,1.213,0.029
3696,3145.82,3872.84,18.23,0.014,1.394,0.04,99,99,99.999,99,1.424,0.021
3697,2611.51,3401.37,18.231,0.014,1.204,0.03,99,99,99.999,99,1.561,0.017
3698,1249.63,2629.51,18.231,0.003,1.054,0.006,99,99,99.999,99,1.387,0.005
3699,741.994,2079.32,18.231,0.011,1.271,0.013,99,99,99.999,99,1.833,0.02
3700,3120.58,1841.97,18.232,0.004,1.368,0.008,99,99,99.999,99,1.906,0.005
3701,3924.53,1429.19,18.232,0.016,0.943,0.027,99,99,99.999,99,1.221,0.023
3702,3459.41,2738.58,18.232,0.016,0.993,0.027,99,99,99.999,99,1.155,0.033
3703,2739.68,952.962,18.232,0.005,1.03,0.007,99,99,99.999,99,1.222,0.008
3704,3210.04,913.937,18.233,0.008,0.986,0.01,0.308,0.057,99.999,99,1.225,0.012
3705,3861.97,1443.58,18.234,0.018,1.15,0.031,99,99,99.999,99,1.226,0.025
3706,1819.52,904.982,18.235,0.009,1.241,0.011,99,99,99.999,99,1.646,0.011
3707,2974.08,169.914,18.235,0.024,1.229,0.042,99,99,99.999,99,1.452,0.032
3708,2339.34,242.887,18.237,0.02,1.21,0.031,99,99,99.999,99,1.498,0.028
3709,2749.7,1114.49,18.237,0.005,1.081,0.006,99,99,99.999,99,1.424,0.006
3710,3713.19,2858.59,18.238,0.017,1.356,0.038,99,99,99.999,99,2.027,0.019
3711,837.105,3220.54,18.238,0.008,1.643,0.011,99,99,99.999,99,1.831,0.011
3712,907.382,2020.47,18.238,0.004,1.033,0.007,99,99,99.999,99,1.186,0.006
3713,2191.67,828.77,18.239,0.004,1.157,0.007,99,99,99.999,99,1.274,0.006
3714,1947.95,2730.27,18.24,0.004,1.227,0.007,99,99,99.999,99,1.629,0.005
3715,1808.69,2824.42,18.24,0.004,1.25,0.007,99,99,99.999,99,1.521,0.005
3716,3645.57,1274.6,18.241,0.017,1.352,0.035,99,99,99.999,99,1.836,0.023
3717,1724.86,1871.89,18.241,0.004,1.429,0.008,99,99,99.999,99,1.804,0.005
3718,1054.2,1640.2,18.241,0.01,1.161,0.015,99,99,99.999,99,1.435,0.013
3719,1345.79,1165.36,18.242,0.004,0.947,0.006,99,99,99.999,99,1.175,0.006
3720,2670.39,26.786,18.242,0.025,1.033,0.033,99,99,99.999,99,1.158,0.033
3721,2015.46,857.563,18.243,0.004,1.341,0.007,99,99,99.999,99,1.671,0.005
3722,3702.09,396.932,18.243,0.02,1.108,0.037,99,99,99.999,99,1.164,0.029
3723,2620.07,579.559,18.244,0.02,1.188,0.029,99,99,99.999,99,1.321,0.027
3724,2770.57,567.087,18.245,0.019,2.008,0.061,99,99,99.999,99,2.205,0.026
3725,2246.93,1907.57,18.245,0.005,1.1,0.007,0.476,0.02,99.999,99,1.443,0.007
3726,2886.1,1830.69,18.246,0.004,1.289,0.007,99,99,99.999,99,1.681,0.005
3727,744.648,911.396,18.246,0.009,1.197,0.013,99,99,99.999,99,1.558,0.011
3728,2188.7,1590.57,18.246,0.004,1.11,0.007,0.49,0.017,99.999,99,1.391,0.006
3729,1133.08,1206.03,18.246,0.004,1.154,0.009,99,99,99.999,99,1.29,0.007
3730,2791.84,3276.43,18.246,0.011,1.008,0.014,99,99,99.999,99,1.427,0.025
3731,1140.16,2838.67,18.247,0.004,1.07,0.005,99,99,99.999,99,1.35,0.005
3732,763.279,1233.74,18.248,0.007,1.255,0.011,99,99,99.999,99,1.385,0.01
3733,643.5,2083.71,18.249,0.005,1.008,0.008,99,99,99.999,99,1.299,0.008
3734,472.895,3145.21,18.249,0.011,0.925,0.015,99,99,99.999,99,1.153,0.019
3735,2775.17,1668.91,18.25,0.003,1.076,0.006,0.695,0.023,99.999,99,1.231,0.005
3736,1400.5,3024.06,18.251,0.004,1.348,0.009,99,99,99.999,99,1.578,0.005
3737,3091.11,2950.08,18.251,0.01,1.318,0.014,99,99,99.999,99,1.487,0.012
3738,3399.09,373.839,18.252,0.021,1.363,0.037,99,99,99.999,99,1.76,0.029
3739,492.307,2275.8,18.252,0.008,1.352,0.012,99,99,99.999,99,1.733,0.011
3740,3874.01,2445.82,18.253,0.016,0.785,0.027,99,99,99.999,99,1.34,0.022
3741,1034.54,732.404,18.254,0.008,1.071,0.011,99,99,99.999,99,1.419,0.011
3742,1980.28,2424.18,18.255,0.004,1.201,0.006,99,99,99.999,99,1.632,0.005
3743,3280.9,2409.83,18.255,0.034,0.901,0.041,99,99,99.999,99,1.122,0.041
3744,1773.89,2730.43,18.257,0.003,1.181,0.007,99,99,99.999,99,1.572,0.004
3745,2953.14,2760.76,18.258,0.003,1.254,0.007,99,99,99.999,99,1.584,0.005
3746,3626.74,1372.92,18.26,0.017,1.184,0.035,99,99,99.999,99,1.613,0.024
3747,963.329,2260.18,18.262,0.004,1.172,0.007,0.882,0.028,99.999,99,1.561,0.006
3748,3920.43,1999.93,18.263,0.015,0.867,0.028,0.836,0.097,99.999,99,1.434,0.021
3749,709.583,2688.83,18.263,0.005,0.936,0.008,99,99,99.999,99,1.183,0.008
3750,2534.44,2192.23,18.263,0.004,1.006,0.006,0.4,0.017,99.999,99,1.222,0.007
3751,1347.68,2919.51,18.264,0.008,1.195,0.011,99,99,99.999,99,1.365,0.01
3752,803.096,3822.48,18.264,0.016,1.272,0.029,99,99,99.999,99,1.399,0.037
3753,2036.8,1264.01,18.265,0.003,2.27,0.016,99,99,99.999,99,2.616,0.004
3754,2397.23,2651.84,18.265,0.004,1.539,0.007,99,99,99.999,99,1.859,0.005
3755,2703.06,823.547,18.265,0.006,1.147,0.008,99,99,99.999,99,1.438,0.01
3756,3903.96,173.657,18.266,0.02,1.099,0.033,99,99,99.999,99,1.207,0.05
3757,627.156,1823.37,18.268,0.006,1.088,0.009,99,99,99.999,99,1.338,0.008
3758,817.905,764.667,18.271,0.01,1.61,0.02,99,99,99.999,99,2.292,0.012
3759,1649.05,1797.29,18.271,0.004,0.96,0.009,0.265,0.019,99.999,99,1.578,0.032
3760,2652.89,2243.63,18.272,0.005,1.02,0.007,99,99,99.999,99,1.266,0.006
3761,1793.21,2227.15,18.273,0.01,1.561,0.021,99,99,99.999,99,2.01,0.011
3762,1580.11,1104.58,18.273,0.004,1.401,0.015,99,99,99.999,99,1.562,0.006
3763,3979.01,3943.65,18.273,0.016,1.09,0.031,99,99,99.999,99,1.489,0.021
3952,3857.81,1145.81,18.389,0.022,1.246,0.039,99,99,99.999,99,1.575,0.03
3765,2060.7,686.526,18.274,0.004,1.485,0.01,99,99,99.999,99,1.898,0.006
3766,2785.94,457.374,18.274,0.019,1.249,0.035,99,99,99.999,99,1.278,0.028
3767,2347.1,2674.48,18.275,0.005,2.038,0.014,99,99,99.999,99,2.477,0.005
3768,3868.39,2565.19,18.275,0.015,1.02,0.038,99,99,99.999,99,1.573,0.019
3769,3473.21,2012.43,18.275,0.016,0.885,0.025,0.241,0.053,99.999,99,1.189,0.02
3770,872.633,2209.87,18.277,0.003,1.183,0.007,99,99,99.999,99,1.335,0.005
3771,875.162,1605.58,18.277,0.005,0.961,0.007,99,99,99.999,99,1.199,0.009
3772,2411.31,3214.79,18.278,0.005,1.81,0.022,99,99,99.999,99,2.676,0.005
3773,1351.44,1100.17,18.28,0.004,1.51,0.009,99,99,99.999,99,1.833,0.005
3774,2608.69,1594.18,18.282,0.01,1.089,0.011,99,99,99.999,99,1.232,0.02
3775,3007.05,1101.89,18.284,0.004,1.644,0.008,99,99,99.999,99,2.195,0.007
3776,2986.17,1984.39,18.284,0.004,1.161,0.007,0.708,0.031,99.999,99,1.546,0.006
3777,2778.52,2893.28,18.285,0.004,1.187,0.011,99,99,99.999,99,1.636,0.005
3778,1685.76,3510.53,18.285,0.02,1.002,0.027,99,99,99.999,99,1.096,0.032
3779,3241.16,1887.71,18.286,0.004,1.268,0.007,0.697,0.029,99.999,99,1.739,0.005
3780,2326.45,2722.21,18.286,0.003,1.087,0.008,99,99,99.999,99,1.394,0.005
3781,2495.84,2684.03,18.286,0.003,1.042,0.006,99,99,99.999,99,1.257,0.005
3782,1145.46,1650.97,18.288,0.004,1.12,0.008,99,99,99.999,99,1.317,0.009
3783,3090.04,3336.15,18.289,0.007,1.43,0.01,99,99,99.999,99,1.939,0.009
3784,3296.04,2030.32,18.291,0.036,0.802,0.054,99,99,99.999,99,1.898,0.041
3785,525.573,1802.21,18.291,0.007,1.766,0.014,99,99,99.999,99,2.088,0.01
3786,3136.28,1291.97,18.291,0.008,1.301,0.01,99,99,99.999,99,1.702,0.011
3787,2376.11,1395.06,18.292,0.01,1.119,0.018,99,99,99.999,99,1.566,0.013
3788,1488.29,398.82,18.293,0.017,0.972,0.026,99,99,99.999,99,1.203,0.022
3789,1802.31,963.625,18.294,0.004,2.267,0.017,99,99,99.999,99,2.648,0.004
3790,472.736,1648.13,18.294,0.009,2.31,0.02,99,99,99.999,99,2.674,0.012
3791,1072.93,3010.34,18.294,0.005,1.24,0.008,99,99,99.999,99,1.402,0.007
3792,2150.22,3304.97,18.294,0.008,1.349,0.011,99,99,99.999,99,1.858,0.014
3793,3942.56,2334.61,18.295,0.017,0.831,0.028,99,99,99.999,99,1.169,0.021
3794,1220.92,1261.78,18.297,0.005,1.19,0.008,99,99,99.999,99,1.58,0.006
3795,3876.83,3758.71,18.298,0.017,1.394,0.04,99,99,99.999,99,1.891,0.024
3796,2772.87,819.833,18.299,0.005,1.757,0.012,99,99,99.999,99,2.014,0.009
3797,3620.07,2869.36,18.299,0.016,0.951,0.034,99,99,99.999,99,1.434,0.019
3798,1018.67,2741.12,18.299,0.004,1.24,0.007,99,99,99.999,99,1.436,0.005
3799,3583.5,1510.55,18.3,0.017,1.518,0.044,99,99,99.999,99,1.86,0.022
3800,1018.65,1904.13,18.3,0.005,1.197,0.009,99,99,99.999,99,1.344,0.006
3801,3578.05,781.903,18.302,0.023,1.118,0.034,99,99,99.999,99,1.519,0.027
3802,2932.18,373.811,18.304,0.025,1.45,0.041,99,99,99.999,99,1.804,0.032
3803,2954.33,403.878,18.304,0.022,1.247,0.036,99,99,99.999,99,1.332,0.03
3805,2934.9,967.941,18.305,0.005,1.136,0.007,99,99,99.999,99,1.447,0.008
3806,2859.05,1868.27,18.305,0.004,1.086,0.012,0.641,0.022,99.999,99,1.219,0.005
3807,2161.84,3040.75,18.305,0.01,1.028,0.011,99,99,99.999,99,1.269,0.016
3808,3706.32,2006.22,18.306,0.041,1.271,0.049,99,99,99.999,99,1.806,0.043
3809,2980.51,2342.2,18.306,0.004,1.167,0.008,99,99,99.999,99,1.485,0.005
3810,2244,3195.11,18.306,0.004,1.219,0.007,99,99,99.999,99,1.408,0.007
3811,3892.16,1406.64,18.307,0.018,1.285,0.036,99,99,99.999,99,1.704,0.024
3812,3504.25,2967.24,18.307,0.014,1.152,0.03,99,99,99.999,99,1.188,0.033
5344,1671.96,769.186,19.355,0.009,1.281,0.019,99,99,99.999,99,1.608,0.013
3814,2872.24,2206.22,18.308,0.011,1.093,0.014,99,99,99.999,99,1.426,0.012
3815,785.702,3307.93,18.31,0.009,1.095,0.013,99,99,99.999,99,1.345,0.015
3816,3432.04,466.651,18.311,0.021,0.957,0.033,99,99,99.999,99,1.425,0.031
3817,3167.32,551.716,18.313,0.022,0.901,0.036,99,99,99.999,99,1.461,0.03
3818,1117.81,1308.58,18.313,0.004,1.043,0.007,99,99,99.999,99,1.186,0.006
