ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
987,1220.2,108.09,18.619,0.025,1.202,0.046,99,99,0.716,0.032,1.388,0.039
988,934.809,1778.99,18.621,0.035,1.558,0.069,99,99,0.889,0.044,1.817,0.052
989,176.549,235.39,18.621,0.041,1.435,0.065,99,99,0.714,0.047,1.501,0.053
990,1240.02,1521.01,18.622,0.03,1.296,0.056,99,99,0.815,0.033,1.547,0.039
991,1651.34,1247.83,18.622,0.028,1.146,0.051,99,99,0.793,0.034,1.496,0.04
992,1294.77,1382.48,18.627,0.027,1.116,0.051,99,99,0.768,0.033,1.461,0.04
994,522.707,1888.4,18.628,0.032,1.336,0.056,99,99,0.88,0.035,1.732,0.04
995,1004.08,1942.44,18.628,0.034,1.134,0.057,99,99,0.783,0.041,1.427,0.045
996,1303.32,722.105,18.632,0.024,1.228,0.061,99,99,0.838,0.031,1.599,0.033
997,415.22,1444.32,18.632,0.026,1.187,0.047,99,99,0.764,0.031,1.479,0.037
998,1581.75,465.164,18.632,0.039,1.356,0.067,99,99,0.755,0.047,1.544,0.052
999,1818.17,1117.73,18.637,0.024,1.085,0.05,99,99,0.845,0.03,1.557,0.036
1000,388.683,1054.33,18.639,0.029,1.396,0.06,99,99,0.935,0.032,1.797,0.038
1001,1271.16,1976.92,18.639,0.028,1.228,0.056,99,99,0.776,0.035,1.505,0.04
1002,1709.82,68.297,18.641,0.028,1.113,0.056,99,99,0.74,0.038,1.402,0.045
1003,269.134,1749.08,18.644,0.028,1.274,0.055,99,99,0.757,0.033,1.498,0.04
1004,1792.44,1772.37,18.645,0.027,1.118,0.049,99,99,0.728,0.033,1.385,0.037
1005,920.667,736.15,18.649,0.031,1.055,0.051,99,99,0.785,0.037,1.409,0.043
1006,791.959,51.35,18.649,0.026,1.274,0.051,99,99,0.76,0.032,1.479,0.037
1007,808.516,759.05,18.652,0.037,1.083,0.059,99,99,0.715,0.043,1.41,0.047
1008,1127.71,146.48,18.652,0.047,1.257,0.07,99,99,0.655,0.052,1.334,0.058
1009,354.144,1426.77,18.653,0.025,1.25,0.05,99,99,0.804,0.03,1.518,0.034
1010,1237.18,189.612,18.654,0.026,1.189,0.051,99,99,0.798,0.032,1.523,0.036
1011,1874.26,38.918,18.654,0.034,1.145,0.056,99,99,0.831,0.044,1.564,0.047
1012,1227.93,1822.96,18.655,0.03,1.211,0.055,99,99,0.752,0.035,1.408,0.044
1013,52.834,250.525,18.656,0.027,1.118,0.058,99,99,0.693,0.04,1.382,0.053
1014,1362.37,990.57,18.657,0.025,1.161,0.053,99,99,0.768,0.033,1.491,0.039
1015,715.429,209.127,18.659,0.026,1.126,0.06,99,99,0.725,0.033,1.381,0.039
1016,730.909,927.842,18.661,0.041,1.36,0.079,99,99,0.907,0.045,1.595,0.049
1017,329.288,1389.88,18.661,0.03,1.209,0.051,99,99,0.806,0.035,1.512,0.041
1018,1398.56,1648.73,18.661,0.032,1.232,0.058,99,99,0.786,0.035,1.407,0.041
1019,235.39,257.686,18.661,0.031,1.158,0.06,99,99,0.673,0.04,1.418,0.043
1020,1831.79,1435.91,18.663,0.03,1.21,0.053,99,99,0.798,0.035,1.537,0.036
1021,849.859,448.408,18.665,0.03,1.151,0.051,99,99,0.694,0.039,1.359,0.04
1022,1314.3,633.65,18.669,0.027,1.294,0.063,99,99,0.819,0.034,1.627,0.037
1023,781.533,655.455,18.677,0.037,1.387,0.069,99,99,0.958,0.041,1.743,0.044
1025,987.571,405.967,18.682,0.027,1.246,0.054,99,99,0.686,0.036,1.351,0.037
