ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
406,829.429,1205.59,17.1776,0.0009,1.357,1.104,nan,0.019,0.022,nan,0.4338,-8.009,2.7,0.0765,0.133,0.129,0.68,-1
408,1183.88,1245.3,17.2552,0.0012,1.291,1.058,nan,0.02,0.027,nan,0.4879,-11.342,9.607,0.0806,0.147,0.139,0.55,-1
413,1170.93,1188.51,17.1987,0.001,1.351,1.02,nan,0.018,0.024,nan,0.4521,-5.778,3.587,0.0748,0.13,0.123,0.97,-1
414,668.672,1495.83,17.2038,0.0012,1.342,1.108,nan,0.02,0.024,nan,0.3629,-0.348,-0.178,0.1097,0.203,0.188,0.6,-1
424,568.435,1199.64,16.8681,0.0009,1.97,1.471,nan,0.018,0.03,nan,0.314,-4.967,2.859,0.0753,0.123,0.125,0.88,-1
457,784.99,1421.24,17.4331,0.0011,1.3,1.077,nan,0.024,0.03,nan,0.6334,-6.696,0.616,0.0905,0.163,0.153,0.55,-1
458,1175.96,1121.31,17.4171,0.0013,1.439,1.156,nan,0.019,0.029,nan,0.6659,-6.774,3.032,0.0993,0.174,0.167,0.74,-1
459,1200.11,1155.59,17.4648,0.0011,1.393,1.075,nan,0.024,0.026,nan,0.3879,-6.021,3.246,0.0871,0.155,0.151,0.98,-1
460,866.25,1528.36,16.2822,0.001,2.99,2.615,nan,0.018,0.078,nan,0.1358,-4.795,3.148,0.0726,0.129,0.112,0.89,-1
465,1020.1,1137.46,17.055,0.001,2.051,1.512,nan,0.021,0.035,nan,-0.0227,-4.797,2.79,0.0769,0.13,0.131,0.86,-1
469,866.12,1308.46,17.4926,0.0015,1.34,0.942,nan,0.026,0.031,nan,0.5001,-5.53,3.127,0.0914,0.163,0.154,0.92,-1
476,1161.07,1304.44,17.3438,0.0011,1.613,1.12,nan,0.022,0.029,nan,0.2874,-6.034,3.569,0.0825,0.145,0.144,0.97,-1
488,1002.6,1076.6,17.5465,0.0011,1.418,1.16,nan,0.024,0.033,nan,0.2249,-4.81,3.506,0.1075,0.196,0.209,0.89,-1
498,933.768,1150.91,17.6146,0.0011,1.404,1.188,nan,0.025,0.034,nan,0.4863,-5.777,2.46,0.1025,0.191,0.191,0.83,-1
511,1091.57,1518.97,17.6366,0.0012,1.476,1.131,nan,0.025,0.037,nan,0.5588,-7.188,3.714,0.0972,0.181,0.161,0.78,-1
514,1157.69,1142.67,17.6327,0.0012,1.425,1.104,nan,0.027,0.037,nan,0.3287,-5.917,3.264,0.0945,0.169,0.162,0.98,-1
517,862.819,941.017,17.1923,0.001,2.174,1.57,nan,0.025,0.07,nan,0.2288,-4.848,3.044,0.088,0.15,0.145,0.9,-1
525,617.67,1272.01,17.5338,0.0011,1.668,1.353,nan,0.025,0.048,nan,0.3055,-4.622,3.084,0.1002,0.17,0.157,0.89,-1
537,910.54,1337.67,17.7143,0.0012,1.496,1.234,nan,0.032,0.044,nan,0.4244,-5.086,3.969,0.1039,0.188,0.171,0.9,-1
542,868.876,1319.48,17.8553,0.0014,1.269,1.1,nan,0.03,0.041,nan,0.3352,-7.602,3.672,0.1111,0.199,0.19,0.78,-1
544,1182.64,1367.99,17.7124,0.0012,1.537,1.286,nan,0.029,0.044,nan,0.5764,-12.351,10.114,0.1041,0.186,0.178,0.66,-1
553,1138.06,1489.07,17.7906,0.0014,1.411,1.162,nan,0.03,0.039,nan,0.2892,-7.236,3.836,0.1104,0.204,0.186,0.88,-1
564,886.218,1106.23,17.8029,0.0012,1.517,1.384,nan,0.029,0.05,nan,0.4242,-6.897,3.489,0.1067,0.19,0.182,0.81,-1
571,891.966,1383.22,17.8663,0.0014,1.409,1.189,nan,0.031,0.049,nan,0.6098,-0.046,0.486,0.1151,0.207,0.203,0.72,-1
588,636.901,1164.24,17.889,0.0014,1.499,1.167,nan,0.031,0.049,nan,0.1483,-7.263,2.779,0.1231,0.211,0.208,0.62,-1
591,1152.48,1549.59,17.9123,0.0013,1.523,1.286,nan,0.031,0.049,nan,0.4907,-0.261,3.549,0.1167,0.222,0.207,0.51,-1
592,1002.47,1451.12,17.7076,0.0016,1.808,1.306,nan,0.028,0.044,nan,-0.1753,-5.105,3.11,0.1178,0.228,0.189,0.87,-1
593,756.974,1482.84,17.9212,0.0014,1.483,1.211,nan,0.033,0.05,nan,0.8426,-5.599,3.909,0.1215,0.222,0.201,0.75,-1
609,1216.58,1327.92,17.7779,0.0013,2.035,1.504,nan,0.031,0.062,nan,0.1441,-5.724,2.867,0.1076,0.212,0.18,0.89,-1
611,977.742,1204.82,17.9527,0.0017,1.496,1.125,nan,0.034,0.049,nan,0.662,-5.922,3.928,0.135,0.239,0.228,0.82,-1
615,1052.68,1615.93,17.9949,0.0014,1.484,1.178,nan,0.036,0.05,nan,0.3987,-6.074,4.113,0.1324,0.256,0.215,0.87,-1
621,592.13,1296.29,18.0467,0.0014,1.446,1.155,nan,0.037,0.052,nan,0.6466,-10.031,8.093,0.1451,0.256,0.246,0.37,-1
635,1189.48,1330.4,18.0974,0.0014,1.769,1.423,nan,0.043,0.059,nan,0.6376,-12.342,4.024,0.1232,0.226,0.212,0.47,-1
637,1181.52,1073.27,18.0764,0.0016,1.468,1.162,nan,0.038,0.053,nan,0.5388,-5.59,3.325,0.1272,0.231,0.225,0.97,-1
639,714.361,1391.11,18.0221,0.0015,1.631,1.279,nan,0.036,0.059,nan,0.4655,-2.348,1.296,0.1322,0.245,0.24,0.7,-1
665,1186.28,1174.64,18.1552,0.0016,1.475,1.211,nan,0.04,0.062,nan,0.3807,-5.87,3.524,0.1329,0.233,0.229,0.99,-1
668,1107.69,1476.46,17.8455,0.0014,2.103,1.539,nan,0.034,0.069,nan,1.4162,-12.551,2.986,0.1145,0.216,0.195,0.62,-1
676,925.425,1023.3,18.196,0.0039,1.682,1.416,nan,0.04,0.067,nan,-0.4146,-5.796,1.746,0.3795,0.657,0.63,0.52,-1
678,1011.2,1196.99,18.0869,0.0014,1.755,1.454,nan,0.041,0.066,nan,0.269,-5.99,1.838,0.133,0.237,0.235,0.85,-1
679,684.231,1469.04,18.2329,0.0016,1.502,1.293,nan,0.038,0.073,nan,0.505,-6.802,3.08,0.1439,0.283,0.262,0.8,-1
686,1143.01,983.008,18.1574,0.0025,1.526,1.233,nan,0.045,0.06,nan,0.4818,-5.738,3.125,0.1389,0.267,0.262,0.97,-1
687,922.965,1426.87,18.1141,0.002,1.521,1.149,nan,0.042,0.062,nan,0.4254,-6.04,3.712,0.1587,0.293,0.28,0.97,-1
701,1004.21,979.163,18.1391,0.0014,1.769,1.304,nan,0.045,0.091,nan,0.4317,-7.241,3.835,0.1365,0.241,0.235,0.87,-1
702,840.052,1635.02,18.2726,0.0019,1.592,1.083,nan,0.049,0.068,nan,0.3528,-5.875,2.71,0.1437,0.273,0.245,0.9,-1
706,856.266,1164.49,18.4023,0.002,1.655,1.202,nan,0.06,0.078,nan,0.2715,-8.114,7.736,0.1731,0.294,0.286,0.07,-1
714,804.188,1604.76,18.2796,0.0021,1.648,1.254,nan,0.046,0.066,nan,0.3848,-5.324,3.338,0.1709,0.322,0.307,0.98,-1
719,1194.57,1339.57,18.4541,0.002,1.799,1.204,nan,0.044,0.07,nan,0.4363,-5.618,3.428,0.1583,0.289,0.274,0.98,-1
722,1231.47,1377.16,18.3337,0.0019,1.706,1.24,nan,0.055,0.079,nan,0.3068,-8.808,3.892,0.1476,0.263,0.258,0.57,-1
723,1302.36,1312.98,18.4807,0.0019,1.586,1.276,nan,0.053,0.073,nan,0.5693,-3.372,2.462,0.16,0.29,0.285,0.76,-1
732,1211.38,1198.1,18.4166,0.0029,1.647,1.157,nan,0.053,0.076,nan,0.3165,-5.864,3.676,0.1605,0.282,0.278,0.98,-1
736,709.032,1544.95,18.2908,0.0017,1.88,1.312,nan,0.045,0.091,nan,0.8466,0.911,0.515,0.1423,0.266,0.246,0.68,-1
737,624.861,1252.67,18.1721,0.0014,2.129,1.688,nan,0.045,0.099,nan,0.2437,-5.48,1.83,0.1356,0.238,0.228,0.82,-1
746,836.538,1075.87,18.2066,0.0015,2.2,1.412,nan,0.051,0.094,nan,1.307,-4.499,8.751,0.1406,0.251,0.241,0.61,-1
749,1084.93,1498.83,18.4863,0.0019,1.553,1.034,nan,0.052,0.07,nan,0.3666,-5.543,3.169,0.1632,0.314,0.277,0.98,-1
752,1065.57,1154.2,18.5391,0.0036,1.762,1.255,nan,0.055,0.095,nan,0.3252,-7.664,2.593,0.1982,0.344,0.343,0.64,-1
