ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
1974,1264.07,1286.27,18.7554,0.0026,1.107,0.935,nan,0.069,0.07,nan,0.3696,-3.171,3.257,0.2044,0.34,0.346,0.28,-1
1875,1178.27,763.7,18.6081,0.0024,1.308,1.084,nan,0.068,0.092,nan,0.385,-8.011,6.471,0.1898,0.319,0.367,0.49,-1
2098,1424.94,1209.09,18.9689,0.003,1.019,0.922,nan,0.081,0.082,nan,-0.4784,-8.408,4.033,0.3195,0.502,0.532,0.65,-1
2043,1264.09,1015.08,18.9895,0.0034,1.131,0.663,nan,0.079,0.074,nan,0.3769,-6.344,0.36,0.2845,0.511,0.441,0.06,-1
2132,1213.62,922.723,18.8727,0.0027,nan,0.905,nan,nan,0.087,nan,0.2338,-5.283,3.2,0.2287,0.418,0.435,0.76,-1
2157,1390.48,942.167,18.8813,0.0032,1.17,0.676,nan,0.081,0.093,nan,-0.1118,-3.626,4.745,0.2918,0.448,0.378,0.37,-1
2293,1438.7,1163.6,19.008,0.0029,nan,0.961,nan,nan,0.096,nan,0.4254,-4.922,2.509,0.2731,0.445,0.411,0.49,-1
2378,1095.16,1164.66,19.1236,0.0031,nan,0.757,nan,nan,0.083,nan,-0.2287,-5.514,3.916,0.2615,0.429,0.373,0.81,-1
929,1457.8,911.494,17.5353,0.0012,1.216,1.056,nan,0.029,0.029,nan,0.3905,-9.165,2.777,0.1173,0.205,0.171,0.65,-1
1531,1319.14,1086.86,18.3889,0.0019,1.196,1.039,nan,0.056,0.069,nan,0.4963,-6.991,4.969,0.1647,0.27,0.283,0.35,-1
1866,1304.52,1155.75,18.6171,0.0024,1.072,1.09,nan,0.065,0.083,nan,0.2874,-7.451,7.709,0.2055,0.322,0.32,0.32,-1
2005,1201.59,825.475,18.8136,0.0028,nan,0.604,nan,nan,0.067,nan,-0.1133,-4.021,2.956,0.2291,0.423,0.437,0.79,-1
