ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
762,1305.11,1500.89,17.6604,0.0014,1.209,nan,0.035,nan,0.3049,-3.901,-0.091,0.1266,0.23,0.171,0.47,-1
772,1379.73,940.04,17.5896,0.0011,1.211,nan,0.032,nan,0.1238,-2.993,1.911,0.1047,0.173,0.163,0.53,-1
778,1390.25,1042.55,17.7579,0.0011,0.992,nan,0.032,nan,0.5211,-11.486,5.05,0.1151,0.189,0.18,0.47,-1
779,1311.01,750.081,17.5867,0.0012,1.476,nan,0.056,nan,0.2997,-10.583,1.902,0.1014,0.16,0.149,0.47,-1
780,1480.71,1343.28,17.6072,0.0013,1.228,nan,0.036,nan,0.2036,-7.369,0.949,0.1127,0.189,0.174,0.48,-1
785,1669.98,1372.4,17.8306,0.0014,0.942,nan,0.033,nan,0.2816,-9.816,2.164,0.1323,0.219,0.18,0.48,-1
806,1351.51,1369.08,17.7818,0.0014,1.042,nan,0.034,nan,0.2781,-4.89,4.433,0.1235,0.222,0.174,0.46,-1
814,1618.65,832.077,17.5881,0.0013,1.329,nan,0.046,nan,0.1616,-6.073,1.079,0.1089,0.189,0.178,0.47,-1
818,1594.17,1196.08,17.6523,0.0015,1.229,nan,0.033,nan,0.2823,-6.651,1.922,0.1116,0.194,0.159,0.49,-1
825,1455.42,1379.5,17.8888,0.0016,1.139,nan,0.04,nan,0.531,-12.356,0.667,0.1326,0.223,0.184,0.47,-1
835,1282.92,838.384,17.6527,0.0013,1.274,nan,0.039,nan,-0.0663,-5.998,0.672,0.1132,0.187,0.161,0.5,-1
839,1567.61,818.674,17.8535,0.0014,1.029,nan,0.044,nan,0.3906,-3.084,-3.176,0.1321,0.196,0.184,0.46,-1
840,1328.02,1312.53,17.8682,0.0015,1.051,nan,0.037,nan,0.2774,-9.534,2.511,0.1321,0.23,0.185,0.47,-1
