ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
301,896.816,1529.0,15.7233,0.0004,0.664,0.52,0.01,0.009,0.817,1
21,1581.06,1260.31,12.6148,0.0002,1.203,1.0,0.006,0.005,0.812,1
107,1867.71,1613.42,14.447,0.0003,0.879,0.689,0.011,0.009,0.811,1
958,1672.19,1334.66,17.1173,0.0015,1.067,0.771,0.021,0.017,0.81,1
1335,1573.96,1449.84,17.5917,0.0012,1.02,0.762,0.026,0.025,0.81,1
1888,1122.22,1187.67,18.1326,0.0015,1.092,0.919,0.033,0.036,0.81,1
1959,1781.43,1345.3,18.1795,0.0015,1.178,0.889,0.032,0.035,0.81,1
2040,1592.15,1623.24,18.1921,0.0018,1.243,1.012,0.036,0.039,0.81,1
2312,1013.56,1473.03,18.356,0.0018,1.311,1.037,0.038,0.053,0.81,1
2546,1379.96,1660.66,18.6965,0.0027,1.171,0.92,0.052,0.055,0.81,1
917,1761.62,1190.93,17.1734,0.0009,0.898,0.71,0.015,0.016,0.8,1
1260,1534.67,1360.77,17.4969,0.0013,1.15,0.893,0.02,0.024,0.8,1
1432,714.109,1435.91,17.6161,0.001,1.185,0.974,0.022,0.028,0.8,1
1427,1187.01,1759.72,17.6608,0.0013,1.114,0.909,0.021,0.026,0.8,1
2137,1666.18,1491.13,18.2782,0.0017,1.21,0.897,0.046,0.049,0.8,1
1204,1201.52,1218.82,17.505,0.0011,0.895,0.703,0.024,0.023,0.79,1
1306,1521.1,1476.71,17.5927,0.0013,0.969,0.775,0.023,0.022,0.79,1
1629,1010.13,1640.55,17.8539,0.0014,1.04,0.747,0.029,0.029,0.79,1
1687,1122.42,1030.86,17.8891,0.0015,1.256,0.955,0.028,0.035,0.79,1
2063,1385.16,1586.7,18.1947,0.0017,1.224,1.023,0.037,0.046,0.79,1
1912,1298.04,1245.87,18.1969,0.0018,1.3,0.908,0.038,0.036,0.79,1
2247,1527.51,1741.75,18.3488,0.0019,1.146,0.91,0.038,0.052,0.79,1
2265,758.29,1381.3,18.4014,0.0017,1.312,0.974,0.041,0.05,0.79,1
2452,1602.57,1631.85,18.485,0.0022,1.317,1.121,0.043,0.054,0.79,1
2415,1573.07,1365.4,18.4868,0.0018,1.272,0.991,0.039,0.052,0.79,1
583,1282.94,1338.35,16.5122,0.0008,0.909,0.708,0.011,0.011,0.789,1
219,1590.53,1601.56,15.2214,0.0005,1.067,0.868,0.011,0.009,0.783,1
429,1489.33,2003.54,16.0782,0.0006,0.962,0.719,0.012,0.011,0.783,1
8,1339.9,1248.19,11.0843,0.0022,2.533,1.829,0.011,0.006,0.782,1
815,839.884,1419.65,16.9811,0.002,0.929,0.723,0.022,0.019,0.78,1
1303,1638.18,1751.98,17.5136,0.0012,1.084,0.843,0.028,0.028,0.78,1
1285,1135.71,1596.86,17.5142,0.001,1.084,0.871,0.023,0.022,0.78,1
1385,1714.38,1371.97,17.626,0.0012,1.069,0.788,0.02,0.024,0.78,1
1649,1304.97,1441.25,17.9031,0.0015,1.131,0.998,0.026,0.03,0.78,1
1745,1390.79,1277.7,17.9735,0.0015,1.236,0.945,0.032,0.032,0.78,1
1852,841.93,1404.09,18.0912,0.0013,1.089,0.939,0.033,0.038,0.78,1
2225,1749.14,1277.33,18.3717,0.0017,1.165,0.845,0.044,0.046,0.78,1
2664,1107.99,948.075,18.8145,0.0026,1.279,1.025,0.07,0.084,0.78,1
1574,1261.19,1198.73,17.8267,0.0013,1.02,0.782,0.027,0.028,0.77,1
99,1088.44,1250.88,14.4685,0.0003,0.478,0.351,0.006,0.005,0.763,1
1556,1242.18,1444.36,17.3339,0.0014,2.0,1.619,0.024,0.045,0.76,1
2497,1198.75,1791.62,18.6044,0.0023,1.285,0.913,0.05,0.06,0.75,1
2561,739.279,1700.22,18.6816,0.002,1.296,1.092,0.055,0.076,0.75,1
289,1734.33,1395.72,15.5883,0.0005,0.939,0.713,0.009,0.009,0.742,1
598,965.467,1860.43,16.5257,0.0008,0.895,0.706,0.015,0.014,0.742,1
1618,1630.26,1531.67,17.8861,0.0013,1.007,0.75,0.029,0.029,0.74,1
2445,1467.81,1252.59,18.5938,0.0021,1.169,1.044,0.046,0.056,0.74,1
37,1121.34,1808.37,13.0467,0.0003,1.376,1.344,0.011,0.01,0.736,1
296,913.833,1945.97,15.6126,0.0004,0.93,0.764,0.014,0.012,0.731,1
53,1521.0,1952.03,13.3697,0.0002,1.48,1.452,0.01,0.01,0.727,1
152,764.338,1274.37,14.9135,0.0004,0.831,0.657,0.009,0.008,0.722,1
2529,1079.67,1500.97,18.5575,0.002,1.331,0.922,0.047,0.064,0.72,1
2577,1104.47,1363.89,18.6978,0.0021,1.203,0.907,0.059,0.07,0.72,1
2547,1368.88,1630.74,18.7442,0.0026,1.171,1.128,0.057,0.067,0.72,1
2355,1691.13,1771.94,18.7636,0.0025,1.324,1.071,0.068,0.081,0.72,1
1174,1408.37,1197.72,17.1743,0.0031,1.588,1.327,0.017,0.029,0.71,1
1865,780.762,1241.52,18.1482,0.0015,0.909,0.757,0.032,0.034,0.71,1
14,977.643,1294.63,12.6049,0.0004,0.382,0.212,0.007,0.005,0.706,1
857,1249.91,1405.92,16.4455,0.0007,1.979,1.632,0.014,0.025,0.7,1
493,1449.73,1714.31,17.046,0.0021,0.898,0.796,0.043,0.044,0.7,1
2444,1578.56,1702.69,18.5884,0.0025,1.198,0.995,0.049,0.061,0.7,1
2574,1813.32,1470.45,18.7759,0.0024,1.182,1.048,0.055,0.068,0.7,1
2169,1481.25,1958.55,19.2259,0.0032,1.255,1.021,0.041,0.052,0.7,1
211,911.327,1639.61,15.1575,0.0003,1.082,0.922,0.011,0.009,0.69,1
433,1707.16,1776.14,15.5079,0.0005,2.022,1.848,0.013,0.017,0.69,1
2481,1374.89,1608.79,18.7573,0.0032,1.12,1.029,0.065,0.068,0.69,1
2553,1588.63,1823.97,18.623,0.0022,1.284,1.209,0.051,0.08,0.68,1
2473,1697.78,1850.16,18.7041,0.0023,1.104,0.973,0.055,0.073,0.68,1
599,1431.86,1045.72,16.2896,0.0011,1.573,1.382,0.013,0.017,0.67,1
2508,1272.19,1587.63,18.6611,0.0027,1.238,0.921,0.06,0.064,0.67,1
2667,1233.82,1922.42,18.8968,0.0022,1.278,1.024,0.07,0.095,0.67,1
1205,1457.95,1403.26,17.5068,0.0012,0.935,0.7,0.021,0.019,0.66,1
2495,1356.26,1876.77,18.5694,0.0022,1.173,0.904,0.052,0.057,0.65,1
2672,908.151,1243.98,18.9292,0.0023,1.321,1.082,0.072,0.096,0.65,1
2537,1555.4,1337.17,18.6359,0.0024,1.271,1.019,0.054,0.057,0.64,1
26,899.835,1313.18,12.7563,0.0002,1.401,1.336,0.006,0.005,0.632,1
132,1163.99,1705.43,14.6339,0.0003,1.026,0.837,0.012,0.011,0.631,1
42,1528.83,1625.7,13.2277,0.0002,1.284,1.184,0.009,0.008,0.627,1
30,1234.29,1541.82,13.1078,0.0002,0.738,0.581,0.008,0.007,0.619,1
2648,1029.85,1533.77,18.7219,0.0022,1.517,1.156,0.054,0.095,0.61,1
2634,1039.55,1921.36,18.8374,0.0029,1.462,0.883,0.074,0.084,0.6,1
2630,1429.52,1246.92,18.7327,0.0023,1.357,0.96,0.062,0.074,0.59,1
2601,1454.98,1979.32,18.8142,0.0024,1.11,0.927,0.063,0.068,0.59,1
12,1120.21,1291.71,12.3919,0.0001,0.734,0.617,0.006,0.005,0.581,1
2500,1267.49,1382.63,18.577,0.0025,1.193,0.976,0.056,0.054,0.58,1
2568,764.491,1606.41,18.571,0.0021,1.417,1.096,0.055,0.079,0.57,1
2548,1354.08,1510.49,18.6981,0.0024,1.167,0.882,0.049,0.061,0.57,1
1104,1549.57,1459.55,17.1133,0.0014,1.527,1.291,0.022,0.035,0.56,1
68,1130.99,1309.0,12.8988,0.0006,2.551,2.12,0.005,0.006,0.55,1
2022,1623.19,1938.35,18.1619,0.0014,1.184,0.794,0.039,0.036,0.55,1
41,939.91,1680.63,13.0129,0.0004,1.591,1.49,0.009,0.008,0.544,1
2616,1268.16,1961.44,18.7139,0.0021,1.279,0.776,0.078,0.079,0.54,1
2670,1616.58,1122.77,18.9182,0.0026,1.347,1.065,0.054,0.084,0.54,1
1070,1325.82,1253.49,17.1814,0.0025,1.848,1.098,0.076,0.026,0.53,1
1302,1568.67,1313.18,17.5249,0.0011,1.084,0.799,0.021,0.032,0.53,1
2514,921.698,1674.74,18.6868,0.0028,1.247,0.901,0.051,0.069,0.53,1
51,1800.87,1828.47,13.0697,0.0004,1.866,1.724,0.012,0.013,0.522,1
1152,1491.35,1380.64,17.2024,0.0011,1.469,1.336,0.02,0.029,0.5,1
2572,1543.22,1211.03,18.7055,0.0021,1.28,0.943,0.048,0.062,0.49,1
2461,1502.0,1963.94,18.5799,0.005,1.415,0.947,0.05,0.056,0.47,1
58,1659.29,1312.14,13.3832,0.0003,1.631,1.543,0.009,0.01,0.449,1
6,1487.26,1075.66,11.7458,0.0002,0.896,0.692,0.006,0.005,0.419,1
65,1787.6,1635.44,13.0454,0.0007,2.311,1.994,0.01,0.01,0.38,1
1500,1189.19,947.695,18.5974,0.0036,1.088,0.785,0.06,0.047,0.38,1
